timesteps,reward_mean,reward_std,reward_min,reward_max,reward_abs_max,reward_abs_p99,reward_zero_fraction,portfolio_return_mean,portfolio_return_std,portfolio_return_min,portfolio_return_max,log_portfolio_return_mean,log_portfolio_return_std,log_portfolio_return_min,log_portfolio_return_max,dsr_mean,dsr_std,dsr_min,dsr_max,scaled_dsr_component_mean,scaled_dsr_component_std,scaled_dsr_component_min,scaled_dsr_component_max,scaled_return_component_mean,scaled_return_component_std,scaled_return_component_min,scaled_return_component_max,portfolio_value_mean,portfolio_value_std,portfolio_value_min,portfolio_value_max,turnover_mean,turnover_std,turnover_min,turnover_max,dsr_variance_mean,dsr_variance_std,dsr_variance_min,dsr_variance_max,allocation_entropy_mean,allocation_hhi_mean,allocation_equal_weight_l1_mean,weight_btc_mean,weight_btc_max,weight_eth_mean,weight_eth_max,weight_ltc_mean,weight_ltc_max,weight_bnb_mean,weight_bnb_max,weight_usdt_mean,weight_usdt_max,dsr_component_abs_sum,return_component_abs_sum,dsr_component_abs_fraction,return_component_abs_fraction,reward_sign_conflict_fraction,reward_component_correlation,policy_weight_temporal_std_mean,policy_equal_weight_l1_mean,deterministic_weight_entropy_mean,deterministic_weight_turnover_mean,sampled_vs_deterministic_weight_l1_mean,sampled_weight_turnover_mean,gaussian_logit_abs_max,gaussian_logit_clip_fraction,gaussian_std_mean,gaussian_std_min,gaussian_std_max,gaussian_std_btc,gaussian_log_std_btc,gaussian_std_eth,gaussian_log_std_eth,gaussian_std_ltc,gaussian_log_std_ltc,gaussian_std_bnb,gaussian_log_std_bnb,gaussian_std_usdt,gaussian_log_std_usdt,value_prediction_mean,value_prediction_std,return_target_mean,return_target_std,advantage_mean,advantage_std,advantage_abs_mean,advantage_p01,advantage_p99,value_target_rmse,value_return_correlation,policy_loss,value_loss,entropy_loss,explained_variance,learning_rate,n_updates,mfn_parameter_norm,mfn_gradient_norm,mfn_gradient_abs_max,mfn_near_zero_gradient_fraction
540.0,-0.05452442266374689,2.8565520292676347,-17.8118896484375,12.684062957763672,17.8118896484375,11.131804008483902,0.0,0.00037919041797550616,0.025292275971232337,-0.11535440124155041,0.12082822630815404,6.045777512757804e-05,0.0252353473329767,-0.12256816755735776,0.11406789979577557,-0.000287736568605977,0.008584011860601867,-0.07376052981350771,0.03697673517913702,-0.0575473137211954,1.7168023721203731,-14.752105962701542,7.395347035827404,0.0030228887563789227,1.261767366648835,-6.128408377867888,5.703394989788778,10154.130046007936,1470.507520278782,6266.210230596706,13101.065303349022,0.18009410018810418,0.0720105417234421,0.03750268089504853,0.8334296837867823,0.0004606211680346807,0.0002148706963541941,2.7713347446413772e-09,0.0007184205746220525,0.9676092115303959,0.22142537180220748,0.13052784702498244,0.19853638277043661,0.4897608691525139,0.20020151392676006,0.45174081134352584,0.20318812657368956,0.43859747838864616,0.19512351571711337,0.5830109970303354,0.20295046101200032,0.45602898716344303,534.242196002961,462.5581802091208,0.5359570569516863,0.4640429430483137,0.001869158878504673,0.8356600210306987,0.001003673649393022,0.0022584220860153437,0.9999898638383694,0.002114410512149334,0.13045395903445223,0.17888197480109364,0.021215910091996193,0.0,0.3678794205188751,0.3678794801235199,0.3678794801235199,0.3678794503211975,-0.999999975128387,0.3678794503211975,-0.999999975128387,0.3678794503211975,-0.999999975128387,0.3678794503211975,-0.999999975128387,0.3678794503211975,-0.999999975128387,-0.08146878479531518,0.5873970039416285,-3.373904053259779,12.817428984180028,-3.2924352542393738,12.994318157680798,10.179876066330406,-37.254945030212404,27.990868568420435,13.404940677764275,-0.280304739471602,-7.523830890655518,179.69244384765625,-2.094693183898926,-0.027791738510131836,0.0007,1.0,,,,
1080.0,-0.052317080167941406,1.560265163502808,-7.627094745635986,11.843338966369629,11.843338966369629,5.006758608818057,0.0,-0.000550116985323909,0.014054183062374036,-0.06673014655487398,0.09780289071874679,-0.0006487299691435236,0.014019989886802198,-0.06906088796595612,0.09331081032270341,-9.940289951190082e-05,0.004310817252567927,-0.020870251753699498,0.03588899451698482,-0.01988057990238016,0.8621634505135854,-4.1740503507399,7.1777989033969645,-0.03243649845717617,0.7009994943401099,-3.453044398297806,4.665540516135171,8610.667681790026,1038.2466862797774,6743.879604127571,10545.678938524383,0.18147302594369133,0.06843964219889795,0.042769317886439784,0.4343532292788172,0.00029756884720388523,6.51312865582054e-05,0.00021402219055327744,0.0004842182780319455,0.9669570390692561,0.22190760385099795,0.13031818700383602,0.19176436224515991,0.3933970919413874,0.195094460472471,0.43713798617514305,0.19746241723470095,0.43054364796548583,0.1989694671425767,0.5741737643212738,0.21670929290509147,0.4929431644855507,320.7550019762221,269.81609071928966,0.5431268240919436,0.45687317590805643,0.007407407407407408,0.9925121300047228,0.007459914777427912,0.024507617577910423,0.998833880863941,0.010354365222156048,0.12801717158483047,0.18145448227324648,0.16759589314460754,0.0,0.3664790987968445,0.36533740162849426,0.37042757868766785,0.3653620183467865,-1.0068665858520227,0.3657378852367401,-1.0058383627015983,0.3655305802822113,-1.0064053363093963,0.36533740162849426,-1.0069339643598703,0.37042754888534546,-0.9930974029355237,-0.9366665497163518,1.2488611769971165,-3.8993409402116583,6.33373181037817,-2.962674389338052,5.794024859108195,5.244278123809232,-14.845650377273559,11.277818365097055,6.507546683973299,0.5123348932808584,-6.809855937957764,42.34816360473633,-2.0755510330200195,0.16316211223602295,0.0007,2.0,,,,
1620.0,0.04830924672906231,1.3552890776695221,-6.467789649963379,10.120345115661621,10.120345115661621,4.601442441940309,0.0,0.0006023322392739024,0.0097779740396771,-0.04031664301428749,0.07753966828766141,0.0005545379823873794,0.009752255283980151,-0.041151885401484956,0.07468035743426513,0.00010291173942803939,0.004348581991144652,-0.02205097787086057,0.03193163607632972,0.02058234788560788,0.8697163982289305,-4.410195574172114,6.386327215265944,0.02772689911936897,0.48761276419900756,-2.0575942700742478,3.7340178717132564,9054.187519698107,957.2393699937115,7085.604329564783,10688.475884875483,0.17556331392057883,0.06638292217485238,0.03402590018618702,0.4170595641530829,0.00013764959045769402,3.218035393647703e-05,9.909360777811915e-05,0.00021338765347322952,0.9671137995609183,0.22157083739118583,0.13057269156315957,0.19312653063078206,0.42699214267389307,0.17512161339869717,0.4109348701223583,0.20353495755386694,0.4832817037642129,0.21171101644684795,0.45643398107595545,0.2165058819698059,0.4082152610535668,321.8549951231863,183.1552799960541,0.6373236565279619,0.36267634347203814,0.009259259259259259,0.9934754212517314,0.01074057538062334,0.040216878056526184,0.9970288955228518,0.011975827626883984,0.12624216716324732,0.1753942535402735,0.2498938888311386,0.0,0.3651944398880005,0.36320021748542786,0.368288516998291,0.3632158935070038,-1.0127578735565772,0.36665722727775574,-1.0033278529831007,0.36320021748542786,-1.0128010334516873,0.3646104633808136,-1.008925718902478,0.368288516998291,-0.9988886344089981,-4.0257128887706335,0.8998973522660144,2.029246758090125,7.970425254223706,6.054959643935716,7.95074516722967,7.942967897488011,-9.214007606506348,23.361660900115968,9.993842355038092,0.07829453974166244,12.180113792419434,99.87687683105469,-2.0579915046691895,0.004932224750518799,0.0007,3.0,,,,
2160.0,-0.03817940867070488,1.5264600757031648,-8.407761573791504,9.297272682189941,9.297272682189941,4.960061979293825,0.0,-0.0003492246842401127,0.010050566628676776,-0.05185319496137962,0.056777113964626195,-0.00039977506216912564,0.010046787190097727,-0.053245931080645674,0.05522381801554409,-9.095327673088557e-05,0.00512602836272002,-0.028727327359633913,0.032680409872694494,-0.018190655346177097,1.025205672544004,-5.745465471926782,6.536081974538899,-0.019988753108456284,0.5023393595048864,-2.6622965540322836,2.7611909007772044,8599.362294161998,531.9174414130564,7455.287484392577,9792.258100971774,0.17732729357415877,0.06517335473784214,0.015417492954598253,0.45741600805320304,0.0001015186018951608,1.1894435717416162e-05,7.237504701510504e-05,0.00012547561161324933,0.9651024582120229,0.22332424751436672,0.1328099349519339,0.19512386765295317,0.4181751428125443,0.17611195858195924,0.43286064176998945,0.22622612983857326,0.5067828026990671,0.19377395854531437,0.6143252081869689,0.20876408538119992,0.4405205823469139,360.5177320533368,179.64205949614114,0.6674279309446043,0.33257206905539577,0.011111111111111112,0.9967830634044234,0.011892637237906456,0.044061411172151566,0.9959883623651626,0.011781078763306141,0.127731352696489,0.1773914507222821,0.353867769241333,0.0,0.36494624614715576,0.36174219846725464,0.3674298822879791,0.36174219846725464,-1.0168234797922324,0.365760862827301,-1.0057755393799472,0.36443084478378296,-1.0094184717784904,0.3653672933578491,-1.0068521481909676,0.3674298822879791,-1.0012227750285074,-1.2520626089570146,1.5486100086399865,-1.5223955599453163,5.448741482428949,-0.2703329492498327,4.530685375009758,3.6225178984028323,-9.876960868835448,9.485156469345094,4.53874318562655,0.684990538992078,-0.7560127973556519,20.600191116333008,-2.054600238800049,0.3085904121398926,0.0007,4.0,,,,
2700.0,-0.02989150440100477,1.4373585306737262,-8.579236030578613,7.884065628051758,8.579236030578613,5.083429384231576,0.0,-0.0003502311053488907,0.008799132682424767,-0.06975744392642225,0.03875259042211042,-0.0003893192919366086,0.008851741064370108,-0.072309913858287,0.03802056097224334,-5.212770857969817e-05,0.005006048365628264,-0.024818701297938135,0.02991518790060797,-0.010425541715939646,1.0012096731256528,-4.9637402595876265,5.983037580121594,-0.01946596459683043,0.44258705321850544,-3.61549569291435,1.9010280486121671,7506.671325928206,651.4503804831913,5894.544344955632,8390.643693802578,0.18278806401108685,0.0727973337144136,0.033611433076102135,0.4523762154081736,7.260640835942257e-05,1.8441649023523793e-05,4.824645720139302e-05,0.00011515911762550878,0.9612416433567049,0.2255512000706107,0.1412693637765674,0.23157589856355232,0.49506180035778147,0.16943937495464034,0.5054722156025336,0.2247752496764828,0.5352866702845837,0.18151862240479907,0.4431290124507935,0.19269085440052547,0.43061179985132536,365.4370857569444,155.81253540214536,0.7010788515190305,0.29892114848096946,0.018518518518518517,0.9790696122520915,0.014176489785313606,0.06785181909799576,0.9925954966703827,0.011390666477382183,0.12920063129813492,0.18300825379003055,0.41783520579338074,0.0,0.3648185133934021,0.35981428623199463,0.3679713010787964,0.35981428623199463,-1.022167252217296,0.3679713308811188,-0.9997502490623261,0.36201560497283936,-1.0160679604256972,0.36700794100761414,-1.00237179353873,0.36728352308273315,-1.0016211867251283,1.4012693067995348,2.2789620544737272,-2.3676200325290364,8.36912570420046,-3.7688893389646654,7.514996710383211,6.776904567386265,-16.683884868621828,10.567075309753418,8.407122126073434,0.49181660693139784,-8.336628913879395,70.67970275878906,-2.0527138710021973,0.19369864463806152,0.0007,5.0,,,,
3240.0,0.012824812983335168,1.3530990191782923,-6.00197696685791,5.692240238189697,6.00197696685791,4.8900612115860005,0.0,-1.3192831953391608e-05,0.008638297262965318,-0.041039565320700466,0.03608429683059954,-5.053786598715887e-05,0.008644551259032728,-0.0419054618014029,0.035448508124231747,7.675852755739375e-05,0.004607410918770797,-0.021122006122955908,0.020131291994032022,0.01535170551147876,0.9214821837541592,-4.2244012245911815,4.026258398806404,-0.0025268932993579418,0.4322275629516364,-2.095273090070145,1.7724254062115874,6351.547994783842,350.9760067043986,5519.776396568619,7117.1761251647795,0.17490329747318686,0.06429588832031935,0.036954587454579815,0.37272408435444054,8.979080209579354e-05,8.495734212998983e-06,7.070468501143708e-05,0.00011196401102119943,0.9609322612925764,0.22590086515001404,0.14398591689719928,0.24773637344573451,0.4804303892918103,0.18675129181722147,0.5081735268246451,0.21220477335276275,0.4756844092941389,0.1649926277005707,0.3983110435433249,0.1883149336837105,0.4182783598206205,348.8008024800697,164.35793533484122,0.6797132676046865,0.3202867323953135,0.009259259259259259,0.9979247268694367,0.014249672181904316,0.06745459884405136,0.992014136214294,0.012268751859664917,0.1260546663926886,0.1749677181355983,0.46008920669555664,0.0,0.36389002203941345,0.35963040590286255,0.3670879304409027,0.35963037610054016,-1.022678508037484,0.3659612834453583,-1.0052277341123597,0.3608326017856598,-1.0193411351595099,0.3659379780292511,-1.005291418877031,0.3670879006385803,-1.0021539483290278,-1.5283753094090908,1.8529435025734142,0.2601944953755096,7.148149654390992,1.7885698077130925,6.344636133574448,5.236699745372904,-15.929915018081665,15.228651933670049,6.591918487799603,0.5388791661481528,3.519836187362671,43.45338821411133,-2.0399999618530273,0.21218156814575195,0.0007,6.0,,,,
3780.0,-0.043534105233589394,1.1980037250178923,-10.301910400390625,11.621577262878418,11.621577262878418,3.866602089405063,0.0,-0.00027631804998283656,0.005858969256799408,-0.05260421525216552,0.05781142626844913,-0.00029353546298909616,0.005862654232328201,-0.054038337786915636,0.0562020815090134,-0.00014428665543026627,0.004536755997309997,-0.037999965265974586,0.0440573670043812,-0.028857331086053255,0.9073511994619994,-7.599993053194917,8.81147340087624,-0.014676773149454807,0.2931327116164101,-2.7019168893457817,2.81010407545067,6016.575062344502,257.07230334479806,5222.18231951557,6459.294406204205,0.18185035379424883,0.06604183826576306,0.04685466180855492,0.39783052005044317,4.636316983231574e-05,1.4851320568962506e-05,2.4442951009037996e-05,7.373807948283273e-05,0.9511676754808146,0.232452390227415,0.16069769294642286,0.25105289441844975,0.5400667187906976,0.17531308770527348,0.4364425658541301,0.25728566402441466,0.5183154496310469,0.15461582383938688,0.3713703418107281,0.1617325300124752,0.3874771538393438,282.47159804424564,92.07771538625101,0.7541639723140556,0.2458360276859443,0.012962962962962963,0.9888171519602356,0.010426814667880535,0.11455345153808594,0.9821209626610076,0.007217620965093374,0.12831257547276234,0.18191661704921164,0.4534192383289337,0.0,0.3633998930454254,0.3601682782173157,0.36673033237457275,0.3601682484149933,-1.021184000000798,0.363846093416214,-1.0110243210442245,0.3608522117137909,-1.0192867903048888,0.36673030257225037,-1.0031285714524987,0.365402489900589,-1.00675582088359,1.1594625238605119,2.582108803950245,-3.6138959368621864,6.473047088425594,-4.773358447366842,5.930914209490304,5.487390189134964,-20.5109499168396,4.002314333915717,7.61319213183206,0.4006159927192877,-9.399399757385254,57.960689544677734,-2.033313512802124,0.1604902744293213,0.0007,7.0,,,,
4320.0,0.025995473316396345,2.1869297297320776,-6.5463337898254395,22.072311401367188,22.072311401367188,7.072802600860597,0.0,-0.0003176088276238354,0.015483557287523318,-0.05180458240339568,0.08232667613153534,-0.00043683638353663866,0.015415518689648168,-0.05319466126508777,0.0791130536466815,0.00023918646514133423,0.00728418619047888,-0.019918168659902608,0.09149725877063362,0.04783729302826683,1.456837238095776,-3.9836337319805217,18.299451754126725,-0.021841819176831933,0.7707759344824084,-2.6597330632543885,3.955652682334075,3949.8864023619444,438.0574405733716,3170.506320477387,5362.46248059634,0.178074715460754,0.07158421842746739,0.02719426821297232,0.45833321613338474,0.00018048947162900312,4.214337842514227e-05,3.682707145894143e-05,0.00023899110679318473,0.9472495978062181,0.2357397160141896,0.1666885273645742,0.21274722792009443,0.4227327424083815,0.16200013349465361,0.40424859159177123,0.29679078396864356,0.5490462630708106,0.17112396998566348,0.44000722789185165,0.1573378846309449,0.35364894486592346,469.35922119659625,292.1095887354603,0.6163866662358445,0.3836133337641555,0.009259259259259259,0.9200286881747112,0.017182061448693275,0.11863341182470322,0.974860259948633,0.015135287307202816,0.1272465693670709,0.1781060717198658,0.5602242946624756,0.0,0.3638366162776947,0.3595873713493347,0.36672061681747437,0.3595873713493347,-1.0227980956071991,0.36610129475593567,-1.0048452222439659,0.3618239164352417,-1.0165976041834899,0.36672064661979675,-1.0031549016453079,0.3649500012397766,-1.0079949176873821,-0.34016515625019866,2.1512608978058334,4.202555755939748,8.803486428318651,4.542720908271494,8.491174926623955,7.2515669414428645,-13.593905763626099,23.60952939987183,9.62997222263031,0.2647832225566039,8.295424461364746,92.73636627197266,-2.039302110671997,0.06969314813613892,0.0007,8.0,,,,
4860.0,0.03394266216936456,1.216999212470422,-7.826897144317627,7.4113287925720215,7.826897144317627,4.999624457359325,0.0,0.00032747277320979555,0.008441043843325969,-0.05475441073526459,0.051721647848348644,0.0002917825908090784,0.008444997116361267,-0.05631050243225887,0.05042848600448617,9.676767195813793e-05,0.00399127795062607,-0.02505686066468686,0.024449523511408753,0.01935353439162758,0.7982555901252139,-5.011372132937372,4.889904702281751,0.014589129540453924,0.4222498558180634,-2.8155251216129438,2.5214243002243086,4281.594080494054,317.11272462866225,3845.424778476953,5025.811034789929,0.17521498026272633,0.06647890307340658,0.036876932089817877,0.3807176492209095,0.00011661115371323176,3.7349412478067264e-05,6.65944302767992e-05,0.00019597602447658788,0.9583047037735757,0.22818047519510945,0.1468131612022801,0.19237236579669806,0.4357572503619745,0.18456868833387294,0.4152598782623298,0.27138773165681596,0.5619749129758429,0.18106387329065474,0.4685668100239428,0.17060734092195837,0.3680130174623377,272.06312979600125,143.36044750061242,0.6549053656666852,0.34509463433331483,0.011111111111111112,0.9873221828806276,0.016943080350756645,0.08255448192358017,0.9872830203143196,0.01100866962224245,0.12580579013585302,0.17523876214475095,0.47622671723365784,0.0,0.36303046345710754,0.3599027395248413,0.36566850543022156,0.3599027693271637,-1.0219213692138813,0.3644852936267853,-1.0092690750502953,0.3614981770515442,-1.0174982801303498,0.36566850543022156,-1.0060280788638083,0.3635977804660797,-1.0117070210261585,-0.11271341930453976,2.1044553433150757,3.377345545148408,7.927057391319094,3.490058970644518,7.674085158891444,6.374346709775704,-14.446202182769776,20.06121997833252,8.430426697854342,0.25102862421440525,6.750016689300537,71.07209014892578,-2.028268814086914,0.06280654668807983,0.0007,9.0,,,,
5400.0,0.03440123796333662,1.6426256883125958,-27.839292526245117,9.325471878051758,27.839292526245117,3.6444060516357424,0.0,0.0006766589625654464,0.008267408228864645,-0.10398325223311958,0.0565341422667715,0.0006417362499932767,0.008366614401888097,-0.10979617447778668,0.05499387394250815,1.1572123760571927e-05,0.006193554967978314,-0.11174742069191924,0.03287889141422362,0.002314424752114371,1.2387109935956628,-22.34948413838385,6.575778282844724,0.03208681249966384,0.41833072009440486,-5.489808723889334,2.7496936971254073,5871.352295997016,417.1429979196913,4912.562962173787,6963.391197992671,0.18158970547646616,0.07019714568928832,0.0247061476191857,0.4472371573978149,7.476231767416136e-05,2.2468480149838155e-05,3.884566327242761e-05,0.00012733479165579953,0.955142053525605,0.23022979733987653,0.1521482199350236,0.18312983854197795,0.4822427814291365,0.20933304858748647,0.4668032929637472,0.2674631094500627,0.5470798633225135,0.18914150068286356,0.5097018087624458,0.15093250273760936,0.4095009114653787,303.7181552407814,128.5180064628981,0.7026671577955481,0.2973328422044519,0.02962962962962963,0.9541018029357109,0.014712786301970482,0.08434431254863739,0.9867546674009056,0.009631817229092121,0.1293387954014608,0.18163813786367122,0.4157741963863373,0.0,0.36277973651885986,0.36072006821632385,0.36476925015449524,0.36072009801864624,-1.019652973138789,0.3627578318119049,-1.0140197973422747,0.3622085750102997,-1.0155350590193082,0.36476925015449524,-1.0084903166744108,0.3634428381919861,-1.0121332483165273,0.11683798395787125,2.127616355968122,1.6995135915500146,7.547734259896286,1.5826756109518034,6.6767097259123735,5.1128350933116895,-21.020774955749513,11.728779544830324,6.861728255829441,0.5267116669448556,3.6639766693115234,47.083309173583984,-2.0248606204986572,0.21748661994934082,0.0007,10.0,,,,
