timesteps,reward_mean,reward_std,reward_min,reward_max,reward_abs_max,reward_abs_p99,reward_zero_fraction,portfolio_return_mean,portfolio_return_std,portfolio_return_min,portfolio_return_max,log_portfolio_return_mean,log_portfolio_return_std,log_portfolio_return_min,log_portfolio_return_max,dsr_mean,dsr_std,dsr_min,dsr_max,scaled_dsr_component_mean,scaled_dsr_component_std,scaled_dsr_component_min,scaled_dsr_component_max,scaled_return_component_mean,scaled_return_component_std,scaled_return_component_min,scaled_return_component_max,portfolio_value_mean,portfolio_value_std,portfolio_value_min,portfolio_value_max,turnover_mean,turnover_std,turnover_min,turnover_max,dsr_variance_mean,dsr_variance_std,dsr_variance_min,dsr_variance_max,allocation_entropy_mean,allocation_hhi_mean,allocation_equal_weight_l1_mean,weight_btc_mean,weight_btc_max,weight_eth_mean,weight_eth_max,weight_ltc_mean,weight_ltc_max,weight_bnb_mean,weight_bnb_max,weight_usdt_mean,weight_usdt_max,policy_weight_temporal_std_mean,policy_equal_weight_l1_mean,gaussian_logit_abs_max,gaussian_logit_clip_fraction,policy_loss,value_loss,entropy_loss,explained_variance,learning_rate,n_updates,mfn_parameter_norm,mfn_gradient_norm,mfn_gradient_abs_max,mfn_near_zero_gradient_fraction
540.0,-0.00010223113467746871,0.0088035537336901,-0.08875293284654617,0.04459073767066002,0.08875293284654617,0.03150385117158295,0.009259259259259259,-0.000803106553779552,0.014828946509920645,-0.05768632191585137,0.08364046359649939,-0.0009133442654065506,0.014820977097251317,-0.05941706823841032,0.08032617235193516,-0.00010223113927120106,0.00880355372451824,-0.08875293298524156,0.044590739037210246,-0.00010223113927120106,0.00880355372451824,-0.08875293298524156,0.044590739037210246,0.0,0.0,0.0,0.0,8013.937425093635,1217.9214004821433,5694.277795595328,10516.890869886036,0.4263317005077065,0.1561575764496969,0.0782928599502097,0.9068749142889203,0.0001414576539590409,6.717653104345898e-05,5.860410167455202e-08,0.00023348549019539325,0.8105343586080185,0.33340016816825496,0.320669185915923,0.19762458333253816,0.9025525374949993,0.19858282690690374,0.8480618090794709,0.20758175722730252,0.813545718557672,0.19214073282473484,0.9612190637144677,0.20407009970852075,0.8614846039830746,0.0013113514287397265,0.0026333085261285305,0.027691926807165146,0.0,0.20610296726226807,0.6159645318984985,-7.094692230224609,-551.0875244140625,0.0007,1.0,0.0,0.0,0.0,
1080.0,0.001703410803741092,0.035303385813093474,-0.03082357905805111,0.7921441197395325,0.7921441197395325,0.031076989900320776,0.009259259259259259,0.0003378204368601099,0.005965646278332379,-0.0275218028367455,0.04786777381683724,0.00032007458508278013,0.005940253284299346,-0.02790762311025763,0.04675740791664175,0.001703410861952996,0.03530338703206289,-0.030823578582571752,0.792144148814654,0.001703410861952996,0.03530338703206289,-0.030823578582571752,0.792144148814654,0.0,0.0,0.0,0.0,11503.68755201795,1038.4888332582927,9735.747557808903,12868.068338632738,0.43418523702975637,0.15861667790911727,0.09023789341112673,0.91136730937398,2.2211678774262418e-05,1.3193947671367063e-05,1.2685343910618084e-10,3.716162533733825e-05,0.8121077035881692,0.3324271233255345,0.31743605399204705,0.19553556270095654,0.7209634378883322,0.20692485268004682,0.8558323976870643,0.20807549359150584,0.8376374292096352,0.18945519236872904,0.9627341896053543,0.20000889865876176,0.8683368944363493,0.008043566718697548,0.016101913526654243,0.14791440963745117,0.0,0.6512928009033203,0.3646794259548187,-7.1009202003479,-22.796937942504883,0.0007,2.0,0.0,0.0,0.0,
1620.0,-8.659027872934329e-05,0.010669844323212451,-0.14706942439079285,0.08785170316696167,0.14706942439079285,0.03741243645548821,0.009259259259259259,-0.0010972898933403294,0.013034519337317585,-0.07087476447023601,0.06712111022093033,-0.0011830916675948332,0.013057337084683214,-0.07351174244039628,0.0649644712400668,-8.6590263671952e-05,0.010669844414858538,-0.14706942692795102,0.08785170504177935,-8.6590263671952e-05,0.010669844414858538,-0.14706942692795102,0.08785170504177935,0.0,0.0,0.0,0.0,7515.043280967894,1123.5269675284512,4987.799112428478,10454.9098434049,0.4205997049725456,0.1545681539856051,0.0609849541893712,0.8488530279751418,0.00010078116551388711,4.352824512385887e-05,5.006925526300014e-08,0.0001905038938785437,0.8182175264328375,0.3267204962751766,0.3142933655121076,0.19728372189950713,0.7875141585813115,0.20899103293644056,0.8433077099531658,0.19913063188751134,0.8715897024415313,0.1926056012321872,0.7937980132033501,0.20198901204435377,0.7301256427670229,0.01036197878420353,0.02083183266222477,0.2126549482345581,0.0,-0.42852818965911865,0.1899666041135788,-7.101696968078613,-108.2956771850586,0.0007,3.0,0.0,0.0,0.0,
2160.0,-0.00025116289424726416,0.006836249601130268,-0.04149710386991501,0.05501895025372505,0.05501895025372505,0.023335941266268496,0.009259259259259259,-0.0002857681444936608,0.010125212024296558,-0.0528952739864073,0.07680810406285904,-0.00033692610958247155,0.010103533413691848,-0.05434560477879919,0.0740012059413532,-0.00025116290283474195,0.0068362495927661695,-0.041497104985089836,0.05501894984000599,-0.00025116290283474195,0.0068362495927661695,-0.041497104985089836,0.05501894984000599,0.0,0.0,-0.0,-0.0,9646.782274275494,873.9799867660602,8236.097193778514,11360.108038720824,0.43322417761791104,0.15725309198129195,0.05428971800350244,0.8814996275079591,7.320983052476192e-05,3.2088495743731705e-05,2.1711249520966214e-07,0.00012364045296138848,0.8079052058238377,0.33749977382675544,0.3204259624112297,0.2031768648302205,0.7997269275336484,0.20364942814791767,0.8930375050049684,0.19274377389261005,0.868241691296481,0.20167069160262924,0.9753254103122705,0.19875924152662255,0.8239278526010491,0.011789562180638313,0.023603785783052444,0.2124459594488144,0.0,-0.1823960244655609,0.16224929690361023,-7.096009254455566,-166.92953491210938,0.0007,4.0,0.0,0.0,0.0,
2700.0,1.0243513183165002e-05,0.007024254841864385,-0.0454033762216568,0.05647679790854454,0.05647679790854454,0.02338708069175482,0.009259259259259259,-1.9081914331774358e-05,0.005362475596838424,-0.032607767065922916,0.01728043527022194,-3.34983078128628e-05,0.005373162016056015,-0.03315124743045002,0.01713282661672504,1.0243516581679709e-05,0.007024254879953555,-0.04540337483267132,0.05647679875899326,1.0243516581679709e-05,0.007024254879953555,-0.04540337483267132,0.05647679875899326,0.0,0.0,0.0,0.0,9942.002832637787,352.3906399704506,9176.233940435954,10703.484741907569,0.4412166813237238,0.16559859208271213,0.05624601467156401,0.8806448270729642,2.0426128592741474e-05,6.3748428076785415e-06,6.211012675460471e-08,2.7155983258854067e-05,0.805869944643215,0.33747223466851123,0.3228446794611566,0.19369493927713724,0.8057215710815577,0.200385659057071,0.8965756480285271,0.1939872900886142,0.9079453604522376,0.2068248599579117,0.8968268196013968,0.20510725161926582,0.7965807849026646,0.012716447003185749,0.0257374607026577,0.23411530256271362,0.0,-0.08691659569740295,0.1295047253370285,-7.089297771453857,-101.78406524658203,0.0007,5.0,0.0,0.0,0.0,
3240.0,-0.0002469341805307421,0.008355817939937735,-0.05378347635269165,0.05480114370584488,0.05480114370584488,0.03737694714218383,0.009259259259259259,-0.0004543079219608067,0.009057651478267318,-0.10529579941778962,0.031149902724671587,-0.000496404835716339,0.009218105147223632,-0.11126211747793333,0.030674589931175524,-0.00024693417077541885,0.00835581792103718,-0.05378347494648827,0.05480114398795737,-0.00024693417077541885,0.00835581792103718,-0.05378347494648827,0.05480114398795737,0.0,0.0,0.0,0.0,9337.842845842655,757.9028222457124,7364.295928040418,10450.08080819359,0.430337507258079,0.15140216769694018,0.0658750323374662,0.8651925582915144,4.35633315802409e-05,2.739354128352788e-05,2.939898776265038e-08,0.00011436858454448244,0.812430964424634,0.33284167911364143,0.31934104616630526,0.2021528528593929,0.8080384462608795,0.212935513340812,0.9510862630692409,0.20691550728994976,0.8331712746029243,0.18408314130383835,0.8196858613380293,0.19391298520600708,0.7940156423944323,0.01372121274471283,0.02762691304087639,0.25168973207473755,0.0,-0.2370060384273529,0.11193069070577621,-7.085885524749756,-81.17115020751953,0.0007,6.0,0.0,0.0,0.0,
3780.0,0.0005260253042083436,0.016037541623788648,-0.03160262480378151,0.33490848541259766,0.33490848541259766,0.027495963126420987,0.009259259259259259,-0.00026781625270562003,0.0076431541255536015,-0.0345670402566772,0.03256165816705642,-0.00029714087340559523,0.007658058460522465,-0.035178615315827465,0.032042761423121895,0.0005260252985147225,0.01603754155406522,-0.03160262608632269,0.3349084834597573,0.0005260252985147225,0.01603754155406522,-0.03160262608632269,0.3349084834597573,0.0,0.0,0.0,0.0,8841.886198948976,408.71757990204486,7882.3495323401685,10098.110217843341,0.44422857377338043,0.1553317083923025,0.08285044202553034,0.8278298383286227,4.322956440419387e-05,1.6852281317074335e-05,5.405704235781069e-11,6.365973862053126e-05,0.8037834414300534,0.3389131421831292,0.32511595145182726,0.2068914858865182,0.8767828661050854,0.2039670630940004,0.8929764729702017,0.1910536055055074,0.794644099757338,0.19435095239504696,0.8132663802363695,0.20373689311892698,0.8169581152878276,0.014395962469279766,0.02904769778251648,0.23639404773712158,0.0,0.09715264290571213,0.11234921962022781,-7.094423294067383,-72.6229476928711,0.0007,7.0,0.0,0.0,0.0,
4320.0,0.00041003490581277693,0.007113685426814224,-0.037348609417676926,0.05845613032579422,0.05845613032579422,0.025098477881401782,0.009259259259259259,0.0008560977668630013,0.010100993987097651,-0.04947079463319907,0.04936286265851987,0.000804773048629889,0.01009735325974362,-0.050736391206074656,0.048183182525263234,0.00041003490806747016,0.007113685388598009,-0.037348609085322344,0.058456129003161564,0.00041003490806747016,0.007113685388598009,-0.037348609085322344,0.058456129003161564,0.0,0.0,0.0,0.0,12517.360421855708,1281.0454800413552,9429.789111472708,15443.103669412718,0.4333820177265831,0.16205362336652498,0.027336995316965366,0.8386430411788502,7.815318640721247e-05,1.949914119769911e-05,5.731749770517906e-07,9.802777389570372e-05,0.8091840311855836,0.3334334052191156,0.322493445740599,0.1979893887439957,0.8179877680508945,0.21172401699698942,0.8724896298962592,0.1956421397743978,0.845837611927509,0.20183268748325062,0.9011114638596313,0.1928117670013665,0.8188613365078858,0.014382176101207733,0.02924307808279991,0.29429861903190613,0.0,0.052665043622255325,0.0982063040137291,-7.108782768249512,-113.8929672241211,0.0007,8.0,0.0,0.0,0.0,
4860.0,0.00024371025999446122,0.008704154104330161,-0.04488398879766464,0.04233571141958237,0.04488398879766464,0.03629219733178619,0.009259259259259259,0.00043939336596330003,0.0056301170948053056,-0.028415841665574253,0.05664145882531197,0.000423559176918989,0.0056019192039375955,-0.028827386706654214,0.05509544293523859,0.00024371026255537123,0.008704154067029396,-0.04488398699723844,0.042335711309679246,0.00024371026255537123,0.008704154067029396,-0.04488398699723844,0.042335711309679246,0.0,0.0,-0.0,-0.0,10240.93478935644,482.80911578792995,9509.882284059262,12621.730527292515,0.43080307218079605,0.16056141638838733,0.06919879262881562,0.9137939232656798,1.5696049047990133e-05,7.101367367198349e-06,3.4153756832303704e-08,4.3040185543845636e-05,0.8120487047422948,0.33245032863193463,0.3189217986811444,0.1981043375099558,0.8924618067952139,0.18683607808811462,0.8343258144492663,0.20600205690609508,0.8377374964615906,0.2171313344083823,0.9327766860609277,0.19192619308745223,0.8349270321176799,0.014452490024268627,0.02911883033812046,0.2841426134109497,0.0,0.09786038845777512,0.08500704169273376,-7.119647026062012,-68.07453918457031,0.0007,9.0,0.0,0.0,0.0,
5400.0,1.884636454902917e-06,0.010083248153565242,-0.11832550913095474,0.07352651655673981,0.11832550913095474,0.02822763703763485,0.009259259259259259,0.0007868069762489929,0.01061403455441474,-0.04476080417204506,0.0656526499129302,0.0007304523675239914,0.01057867933992205,-0.04579350302743317,0.06358742828549206,1.8846212086814507e-06,0.010083248246763621,-0.1183255118539605,0.07352651835131425,1.8846212086814507e-06,0.010083248246763621,-0.1183255118539605,0.07352651835131425,0.0,0.0,-0.0,-0.0,11899.740012738901,2567.905311660908,8646.891991407172,16215.173343928678,0.4446985056935288,0.16473754494134243,0.06339414478009875,0.9144331487779456,7.01885022958922e-05,4.780425870606218e-05,5.2393066110621496e-08,0.00013439482783467256,0.802785323194889,0.34058568183629634,0.32729334514726155,0.2070978083905465,0.9277207043500812,0.20425956384654118,0.8428056130259652,0.2034544132772992,0.8813956266307527,0.1983953521609335,0.8777309022133978,0.18679286232467956,0.9233824952273016,0.014209073968231678,0.028941579163074493,0.27196672558784485,0.0,0.047124989330768585,0.06161230430006981,-7.118042945861816,-23.938331604003906,0.0007,10.0,0.0,0.0,0.0,
