timesteps,reward_mean,reward_std,reward_min,reward_max,reward_abs_max,reward_abs_p99,reward_zero_fraction,portfolio_return_mean,portfolio_return_std,portfolio_return_min,portfolio_return_max,dsr_mean,dsr_std,dsr_min,dsr_max,portfolio_value_mean,portfolio_value_std,portfolio_value_min,portfolio_value_max,turnover_mean,turnover_std,turnover_min,turnover_max,dsr_variance_mean,dsr_variance_std,dsr_variance_min,dsr_variance_max,allocation_entropy_mean,allocation_hhi_mean,allocation_equal_weight_l1_mean,weight_btc_mean,weight_btc_max,weight_eth_mean,weight_eth_max,weight_ltc_mean,weight_ltc_max,weight_bnb_mean,weight_bnb_max,weight_usdt_mean,weight_usdt_max,dirichlet_alpha_mean,dirichlet_alpha_min,dirichlet_alpha_max,dirichlet_total_concentration_mean,dirichlet_alpha_below_one_fraction,policy_weight_temporal_std_mean,policy_equal_weight_l1_mean,policy_loss,value_loss,entropy_loss,explained_variance,learning_rate,n_updates,mfn_parameter_norm,mfn_gradient_norm,mfn_gradient_abs_max,mfn_near_zero_gradient_fraction
540.0,-0.6506707921279249,14.98480790392218,-346.8486022949219,7.458608627319336,346.8486022949219,6.7245546722412115,0.009259259259259259,0.00033156911508108006,0.025166024398230857,-0.12089038748709792,0.11941033390590654,-0.6506707703029639,14.984807409232086,-346.8485907381562,7.458608428519926,9961.9249923499,1665.3161293160276,5724.889905428911,13366.704588698329,0.502634319039352,0.17476024164204143,0.04264429734266541,0.9442532670353814,0.00045334162644353567,0.0001869161114431951,2.346564364484196e-08,0.0006947371257087582,0.7279030915262165,0.3821007608948456,0.38385441956769784,0.1930721949100532,0.8111553490068196,0.19721694303028312,0.9136224724541528,0.2034683580245947,0.8870717174314852,0.18988359302046548,0.9617781757393941,0.2163589110146035,0.8909394635264966,0.6932684183120728,0.6906556487083435,0.6963526010513306,3.466341972351074,1.0,0.00015759635425638407,0.00044876179890707135,16.596586227416992,1526.24755859375,3.3935999870300293,-0.0012260675430297852,0.0007,1.0,35.120925563062336,0.3074617754568388,0.048417024314403534,0.01759489656518345
1080.0,-0.02913972062416616,0.8699954581624836,-4.738521575927734,6.904627799987793,6.904627799987793,2.89292986392975,0.0,-0.0006432835881634871,0.015031128948944502,-0.07443604978210752,0.11077906513517827,-0.029139721841925495,0.8699954635216307,-4.73852172264218,6.904628004875649,8536.311675915445,961.0185343581628,6562.041057025364,10156.880083903923,0.5087100448307444,0.1733143187474583,0.07162167409717554,0.960070391429714,0.0003207076645968136,5.946629935818156e-05,0.0002302246652784217,0.0004844687206208861,0.742160894142338,0.36923273692796976,0.3721860757948369,0.21495297599296675,0.7886457118228332,0.1990836923175831,0.8889151991643116,0.20631252017348933,0.8304227790002542,0.18964273383415778,0.9297551267362038,0.190008077681803,0.94878851900735,0.6886948347091675,0.6568273901939392,0.7144998908042908,3.443474054336548,1.0,0.0022050696425139904,0.0071678911335766315,4.308164119720459,12.889508247375488,3.403958559036255,0.07293087244033813,0.0007,2.0,35.13459591761383,0.32832585757238697,0.03360095992684364,0.25121975019516
1620.0,0.01571679450237382,0.864225295121258,-3.6120975017547607,5.203044891357422,5.203044891357422,3.108350696563721,0.0,0.0003945485965230526,0.0103941049558695,-0.03924723547615846,0.06360347878281061,0.01571679511053037,0.8642252969884625,-3.6120975347620603,5.203044980606772,8155.249914951112,754.5650798274954,6518.442271380079,9761.312171415293,0.5066748530865777,0.18088967534564335,0.09091330175645247,0.9393736403677522,0.00015357838829876152,3.119005566188032e-05,0.00010709343726853911,0.00022989042622944598,0.7385271381135613,0.37441726585435986,0.372989459172446,0.2068166541005819,0.8390795506440706,0.18190717634950176,0.8742450516911834,0.1990759589080625,0.8590602766747371,0.2147251736919127,0.9332708648370626,0.19747503694994112,0.9111154210961322,0.6824792623519897,0.6285474300384521,0.7567535638809204,3.412396192550659,1.0,0.0021519388537853956,0.01477033644914627,-7.22476863861084,35.290992736816406,3.4232177734375,0.0451200008392334,0.0007,3.0,35.125561144103656,0.3405257005505068,0.048119593411684036,0.2768771955503513
2160.0,0.0006007169261229811,1.0868161432981478,-5.489777088165283,9.171692848205566,9.171692848205566,3.897855410575868,0.0,-0.0002209332052599985,0.011224209102640418,-0.05347006366861843,0.08213299055326366,0.0006007185757799156,1.0868161439118678,-5.489776938166801,9.17169294717165,7249.577251321558,385.51566193554754,6320.54104698738,8189.663035179791,0.5145055350638751,0.17289595056565718,0.08070954240212189,0.9431567325157079,0.00011983670366866394,1.9271436320494477e-05,8.742567441932087e-05,0.00016713653992234725,0.7362013951267737,0.37437962160282495,0.37853705623184486,0.20378969717554973,0.9140008947598071,0.19198321370840646,0.8231279138953207,0.1926310987006057,0.8577669900123599,0.21454244550090562,0.9034631857801192,0.19705354491453245,0.8545885440234003,0.6890814304351807,0.659674882888794,0.7248289585113525,3.4454071521759033,1.0,0.002297624247148633,0.006774863228201866,-6.1305742263793945,21.263900756835938,3.403120517730713,0.08395129442214966,0.0007,4.0,35.12830265764538,0.3884348245506403,0.03774835914373398,0.2825856264637002
2700.0,-0.006022742141417607,0.9892709935080836,-3.7402737140655518,8.150278091430664,8.150278091430664,3.161896584033967,0.0,-0.0003302104612443709,0.008506055443540805,-0.03416820846898113,0.05080779861969941,-0.0060227424979676595,0.9892709901641182,-3.7402737757035305,8.150277967668249,6434.845446231011,590.8118483541675,5095.006402187065,7302.422053578276,0.5137252244793514,0.17491326452338263,0.09395289932451505,0.9062626781003843,8.109633970059255e-05,1.7181967356747894e-05,5.7599089615656986e-05,0.0001230000048443702,0.7252566451461092,0.382554443997627,0.3824572016281426,0.19612616621428686,0.821432203786053,0.20447043612916088,0.8910593257067329,0.18644082647068924,0.9257330227295892,0.2059512420041272,0.8864214265938348,0.20701132918173584,0.8892775276561906,0.6944360136985779,0.6617159843444824,0.7258086800575256,3.472180128097534,1.0,0.0021779469680041075,0.005383407697081566,2.1150989532470703,27.074420928955078,3.3926780223846436,0.12014931440353394,0.0007,5.0,35.1362531398957,0.339548729477985,0.0468854196369648,0.23974190085870414
3240.0,0.0030854093030534893,0.9360398304047012,-4.208255767822266,4.9322285652160645,4.9322285652160645,3.1886361885070844,0.0,-9.041191373212508e-05,0.008536888057021881,-0.03918079883525758,0.04072158751039256,0.0030854094794678685,0.9360398270058521,-4.208255566867791,4.932228762320891,5612.834112031367,302.4626569031508,5126.179965801408,6456.263254896166,0.5018909216729867,0.17955332696463186,0.04158402250026102,0.9383007036598487,8.497491566843118e-05,7.161565336252591e-06,6.674762105915639e-05,9.959759401345082e-05,0.7336765369974646,0.37601261097931754,0.37749148022567214,0.20289878010589982,0.9207141673777749,0.20558612103646096,0.824059266389741,0.1959616184118807,0.79331796327005,0.18461988261899942,0.9089051532676364,0.2109335978267591,0.9275604968050712,0.6909980773925781,0.6592798233032227,0.7456341981887817,3.4549903869628906,1.0,0.0021825958974659443,0.006140668876469135,-0.513762891292572,16.990020751953125,3.39939022064209,0.16208142042160034,0.0007,6.0,35.14697306981844,0.3704243900064142,0.04131229966878891,0.2427424863387978
3780.0,-0.03164816579147656,0.8920101877630935,-6.076940536499023,7.018772125244141,7.018772125244141,3.555549943447117,0.0,-0.0003492789004413164,0.005608539358651547,-0.036643648732982426,0.04315776795299868,-0.03164816730774825,0.8920101862362189,-6.076940667580823,7.01877195606428,5106.375324009082,253.59723208867166,4272.760895531141,5471.103472843785,0.490824658001307,0.17331555431309015,0.07716025466500623,0.9314809592419127,4.1235417552619536e-05,1.286073256197342e-05,2.2259166991719157e-05,6.707428072539439e-05,0.7424579171620181,0.3709211415858299,0.3723920026670386,0.20335652954012876,0.9160142331921042,0.212450030448612,0.836676119204956,0.1849553599590349,0.8368022558763938,0.20543081764582746,0.8685548405123095,0.19380726240639687,0.8342116853614084,0.7000603675842285,0.6149405241012573,0.8218125700950623,3.5003018379211426,1.0,0.005546258762478828,0.02178196981549263,13.367119789123535,42.62411880493164,3.399628162384033,0.09824681282043457,0.0007,7.0,35.14223233299324,0.42812255590577225,0.029709994792938232,0.2335455698672912
4320.0,0.05400306511092586,1.2662572050078404,-3.573744058609009,8.024787902832031,8.024787902832031,4.170216026306155,0.0,-0.00037305386084330406,0.015066510898768492,-0.04776695210233097,0.07575834258364844,0.054003066298116006,1.266257201212273,-3.5737441561122147,8.024787561033166,3027.730916355497,355.6779985461745,2439.743738688458,4374.1612071085065,0.5023599493847276,0.18227758206853084,0.06931782485371761,0.9129705585208543,0.000165878481657197,4.37834213859281e-05,3.88143746037832e-05,0.00023417142774531237,0.7322009522435301,0.379386650358913,0.3797201172499694,0.21134346834628814,0.9500445134123167,0.20912107949150271,0.8020163447340842,0.18466465579448274,0.8417240796716662,0.19569268338423593,0.8299154833372635,0.19917811298349047,0.8676127686487439,0.6962671875953674,0.6085408329963684,0.8102858066558838,3.4813358783721924,1.0,0.007248147390782833,0.022710103541612625,-20.371723175048828,60.71895980834961,3.4062423706054688,0.19327634572982788,0.0007,8.0,35.14600098750462,0.42951839255864577,0.034748759120702744,0.23152078454332553
4860.0,0.016202233593806643,0.8069800321795163,-6.281640529632568,3.753851890563965,6.281640529632568,3.3037647962570227,0.0,0.0003297488294059084,0.008377416572388276,-0.06747925716500275,0.045899663731168654,0.016202232673237775,0.8069800339392468,-6.281640662307083,3.7538518746705636,3402.190831323965,246.29807541372674,3057.0769991530788,4002.1585420290776,0.513190245848329,0.174822096070705,0.06534801977772053,0.9224594392716386,0.00011773950985213696,3.9642497990419285e-05,6.685064443347175e-05,0.0002022793009900987,0.7353392375094697,0.3750622458407989,0.37675723227067387,0.19167288394010124,0.8054164363017077,0.20713348721881683,0.8654506297188993,0.18599212212326693,0.9307713026062462,0.19653058937689952,0.8491405655916213,0.21867091734091548,0.8446112500535241,0.6979360580444336,0.611651599407196,0.811800479888916,3.489680290222168,1.0,0.006604650057852268,0.02015804871916771,-4.881341457366943,32.37199401855469,3.4007766246795654,0.03976631164550781,0.0007,9.0,35.14744923691736,0.45957549604689024,0.03483528271317482,0.22545252732240437
5400.0,-0.005894083012632715,1.4009532917868852,-27.374372482299805,7.3565216064453125,27.374372482299805,2.7117029356956492,0.0,0.0007157516879883949,0.008828256899386981,-0.1177749844003187,0.07248090602213979,-0.005894083104119732,1.4009532874983555,-27.374372359137826,7.356521551483913,4694.83542518748,470.3329381429074,3863.7092318113146,5647.789853546523,0.491420663170256,0.18269423563278817,0.08829880877442665,0.9371020170595461,8.421012108683569e-05,2.0746474545385657e-05,5.376983881264214e-05,0.00013397911428407968,0.7329660235170389,0.37730237710046216,0.37803989287475004,0.20584062428421818,0.8914680568824973,0.19810968129558923,0.8510406362081577,0.17772293492774302,0.8753779469380765,0.1989484533848713,0.8508565287198971,0.21937830610757825,0.9417915480580128,0.6930758357048035,0.6186827421188354,0.7924373745918274,3.465379476547241,1.0,0.005373519845306873,0.016767805442214012,3.9905011653900146,49.304359436035156,3.4046032428741455,0.1585884690284729,0.0007,10.0,35.15224205883874,0.4312933682928398,0.0529722236096859,0.24261441256830601
