Method,Peak PV,Peak Improve,Final PV,Final Improve,Total Return,Max Drawdown,Sharpe Ratio
dman_attention,17261.944732002357,1.1698204904837226,15828.942812906536,1.1645461475436307,0.5828942812906537,-0.1508269124098163,2.601628840637473
a2c,15967.773266182394,1.082116102454441,13997.666568933975,1.0298179019359999,0.3997666568933975,-0.2045542783089093,1.8114401785881944
without_ti,15294.955308687084,1.0365200676354767,13199.64042242004,0.9711065725979386,0.319964042242004,-0.2729345853050062,1.5562166801068644
buy_and_hold,14756.062893773142,1.0,13592.370595441338,1.0,0.3592370595441339,-0.1946807877037434,1.8139720505625123
