Method,Peak PV,Peak Improve,Final PV,Final Improve,Total Return,Max Drawdown,Sharpe Ratio
dman_attention,15770.744354639311,1.0687636985672073,14983.938388006643,1.102378594138098,0.4983938388006643,-0.1691944581866845,2.5720251074145435
a2c,15074.255647860851,1.0215635265570726,13534.730844765736,0.9957594041252132,0.3534730844765736,-0.234481880261917,1.676629932430687
without_ti,15024.718364348708,1.018206446564343,13486.694409193247,0.9922253307098959,0.3486694409193247,-0.2227648951119005,1.7565998760389332
buy_and_hold,14756.062893773142,1.0,13592.370595441338,1.0,0.3592370595441339,-0.1946807877037434,1.8139720505625123
