timesteps,reward_mean,reward_std,reward_min,reward_max,reward_abs_max,reward_abs_p99,reward_zero_fraction,portfolio_return_mean,portfolio_return_std,portfolio_return_min,portfolio_return_max,dsr_mean,dsr_std,dsr_min,dsr_max,portfolio_value_mean,portfolio_value_std,portfolio_value_min,portfolio_value_max,turnover_mean,turnover_std,turnover_min,turnover_max,dsr_variance_mean,dsr_variance_std,dsr_variance_min,dsr_variance_max,allocation_entropy_mean,allocation_hhi_mean,allocation_equal_weight_l1_mean,weight_btc_mean,weight_btc_max,weight_eth_mean,weight_eth_max,weight_ltc_mean,weight_ltc_max,weight_bnb_mean,weight_bnb_max,weight_usdt_mean,weight_usdt_max,dirichlet_alpha_mean,dirichlet_alpha_min,dirichlet_alpha_max,dirichlet_total_concentration_mean,dirichlet_alpha_below_one_fraction,policy_weight_temporal_std_mean,policy_equal_weight_l1_mean,policy_loss,value_loss,entropy_loss,explained_variance,learning_rate,n_updates,mfn_parameter_norm,mfn_gradient_norm,mfn_gradient_abs_max,mfn_near_zero_gradient_fraction
16.0,-0.6066803457215428,5.227808569222532,-15.213892936706543,3.8098719120025635,15.213892936706543,14.803676319122314,0.3125,0.01383849239302392,0.01976179661514365,-0.03909507681480759,0.055233898572687304,-0.6066803298520902,5.227808504327595,-15.213892472389503,3.8098718595435166,11356.11976483361,774.8312801241959,10044.462145250274,12421.383980763785,0.5256588400314546,0.1972351694420483,0.24695481499134847,0.8652783414517417,2.2889269141868206e-05,1.6625906839099978e-05,9.834989742276191e-08,4.37864347747328e-05,0.7399212371751336,0.37200470648214135,0.3694075497616236,0.1274577305770291,0.5995906007933234,0.16815871845268024,0.62000031203032,0.18988412122806114,0.5739592963267052,0.2718367636982805,0.6993740595126563,0.24266266604394895,0.6932066711280805,0.6930481195449829,0.6904256343841553,0.6948197484016418,3.465240478515625,1.0,0.00015424615412484854,0.0006493162363767624,10.345973014831543,52.75823211669922,3.394031047821045,0.00780564546585083,0.0007,1.0,13.942245898644664,0.2815503484211353,0.08283422887325287,0.10116036893781613
32.0,-0.25476232450455427,3.1348595472979937,-10.133966445922852,2.708859920501709,10.133966445922852,9.158075165748594,0.0,0.005426387286567518,0.025480373920814342,-0.052145392853508964,0.06567247915309135,-0.2547623082374382,3.1348595207911663,-10.133966308164402,2.7088598553515224,12966.374981246414,384.9309846065174,12321.81135470152,13529.330699902697,0.41100785658744726,0.14086299624288315,0.15822381057414447,0.6620257391370353,7.667323974002834e-05,1.6566772018522607e-05,4.381767913850917e-05,9.154835338960172e-05,0.7879778478018685,0.33554848355385747,0.3242570492150718,0.1738532204108758,0.6356297123513562,0.258057886124337,0.6407110688832899,0.18167273391625616,0.6751726445786972,0.2140125391163687,0.4615105714092208,0.17240362043216234,0.4967030007269345,0.6938781142234802,0.6839091777801514,0.702677845954895,3.469390630722046,1.0,0.000450575549621135,0.0029788813553750515,0.13567686080932617,9.107776641845703,3.3927347660064697,-0.06298708915710449,0.0007,2.0,13.938036575157918,0.3472102219059665,0.17928212881088257,0.06813448378458792
48.0,-0.7164366221986711,3.768665692611886,-12.270896911621094,4.137908458709717,12.270896911621094,11.104978775978086,0.0,-0.00026800549392945894,0.03345415033982448,-0.07919639370235064,0.060354436351174205,-0.7164366049352326,3.7686657076365355,-12.270896955386302,4.137908678929295,12897.43326747261,398.4447764478979,12064.199741435617,13348.752826594837,0.5051933451824672,0.15853695773473353,0.22124665389227538,0.7784184580890716,0.00011610301427973471,2.8242615206881066e-05,9.206009217734754e-05,0.00017208906380808672,0.7335588051898925,0.3703768703495772,0.3751187131796546,0.18206261021519302,0.6416873283336652,0.2600840511781995,0.7013612254792315,0.19279860912209407,0.6646572811319864,0.17932486256590344,0.5762996265389835,0.18572986691861,0.477222556502865,0.6932634115219116,0.6826972365379333,0.7022852897644043,3.4663174152374268,1.0,0.0007443757494911551,0.0029878984205424786,14.56477165222168,47.833412170410156,3.393920421600342,0.005672454833984375,0.0007,3.0,13.937852296517288,0.38569303465405796,0.18192224204540253,0.07051472775959536
64.0,-0.34736907959450036,1.501722830479434,-3.2686851024627686,2.336291551589966,3.2686851024627686,3.128826069831848,0.0,-0.002729742267194098,0.019664181772624342,-0.03787655619855595,0.035420614258936986,-0.3473690921719094,1.5017228398790696,-3.2686851885217787,2.3362915172167265,13116.003359929491,253.32056712446496,12660.855118275507,13608.377568600506,0.427370581785092,0.1249596444004941,0.20181177894146368,0.6395706336301038,0.00018198590888573592,6.641075249323534e-06,0.00017215083432564973,0.00019045579959518072,0.7802079692264572,0.336652858686072,0.3438073554233105,0.20399484274992352,0.48116689785988936,0.1852246392286632,0.6361722350120544,0.20104944010622627,0.6186523952883356,0.2227421035441878,0.43677595448436896,0.1869889743709992,0.6623442074307172,0.694836437702179,0.6857196092605591,0.7059553861618042,3.47418212890625,1.0,0.0003939173766411841,0.003748325165361166,11.170618057250977,13.999866485595703,3.391118049621582,0.09153598546981812,0.0007,4.0,13.939223419851446,0.3465294746766102,0.14122749865055084,0.09461469800654568
