,Initial PV,Peak PV,Final PV,Return (%),Max Drawdown (%),Sharpe
MFN-A2C + DSR,10000.0,14693.854003246508,13719.587160942921,37.19587160942921,-20.67939901635719,1.8429750708982156
MFN-A2C + PV,10000.0,17359.257902576843,16278.329862064465,62.78329862064464,-24.630342029226416,2.2541633495660998
A2C + DSR,10000.0,14168.04095707631,13086.661787995343,30.866617879953417,-20.6244699742543,1.639720582829663
A2C + PV,10000.0,14588.643260795874,13608.971278165207,36.089712781652075,-20.22281830063105,1.8061136798706445
