portfolio_value,return,reward
10000.0,,
9995.114879586466,-0.0004885120413533872,9995.114879586466
9972.750377777713,-0.002237543247694915,9972.750377777713
10081.147584434053,0.010869339204346396,10081.147584434053
10160.950286718642,0.007916033528544773,10160.950286718642
10061.223947319266,-0.009814666599612214,10061.223947319266
9984.106285028334,-0.007664839058818345,9984.106285028334
9965.31176514156,-0.0018824438913434237,9965.31176514156
9815.472448321925,-0.015036089221389768,9815.472448321925
9640.014155789431,-0.017875684889981015,9640.014155789431
9456.764855924004,-0.019009235557540652,9456.764855924004
9341.18747595504,-0.012221661607305763,9341.18747595504
9468.508102342159,0.013630025809336706,9468.508102342159
9539.60830585144,0.007509124219019491,9539.60830585144
9685.392308737288,0.015281969470006955,9685.392308737288
9285.73679109141,-0.04126374078676658,9285.73679109141
8866.402368815114,-0.0451589821799171,8866.402368815114
8793.50119297078,-0.008222182212341469,8793.50119297078
8774.64178772138,-0.0021446980941420206,8774.64178772138
9059.364187914582,0.03244832177555331,9059.364187914582
9027.800137468696,-0.0034841352871091236,9027.800137468696
9045.910887555967,0.00200610888715911,9045.910887555967
9192.975164792559,0.016257542116504882,9192.975164792559
9091.165478449702,-0.011074726573043446,9091.165478449702
8929.687375211153,-0.017762090418585796,8929.687375211153
9089.040634526064,0.01784533462585448,9089.040634526064
9134.061571177737,0.004953321088768669,9134.061571177737
8980.572786523691,-0.01680400153403548,8980.572786523691
9111.754739679245,0.014607303595646735,9111.754739679245
9197.852515375986,0.009449088365143125,9197.852515375986
9191.232811766267,-0.0007197009952761192,9191.232811766267
9151.872908740466,-0.0042823311988588394,9151.872908740466
9222.14951231938,0.007678931326919633,9222.14951231938
9165.446889402298,-0.006148525660024974,9165.446889402298
9063.261397847844,-0.011148991728118339,9063.261397847844
9126.579155787584,0.006986200128220425,9126.579155787584
9210.792811322752,0.009227296898177162,9210.792811322752
9182.366705782313,-0.003086173592515722,9182.366705782313
9230.67326354117,0.005260795969783938,9230.67326354117
9324.973440591046,0.010215958723437632,9324.973440591046
9376.642784259246,0.005540964164389474,9376.642784259246
9321.487657471804,-0.005882182787215995,9321.487657471804
9385.54658103744,0.006872178124302802,9385.54658103744
9355.671984924013,-0.003183042762132437,9355.671984924013
9442.336367067739,0.00926329848709744,9442.336367067739
9491.394901416017,0.005195592747509087,9491.394901416017
9547.487691571543,0.005909857374826575,9547.487691571543
9593.667664487928,0.004836871688994461,9593.667664487928
9505.882091354672,-0.009150366283606444,9505.882091354672
9472.617857492109,-0.003499331628867659,9472.617857492109
9257.400120258073,-0.022719985169022194,9257.400120258073
9344.264555254003,0.009383243012888995,9344.264555254003
9307.787442701225,-0.0039036900482733333,9307.787442701225
9347.209149242663,0.004235346669025088,9347.209149242663
9580.425643600194,0.024950387932255392,9580.425643600194
9576.973257894593,-0.00036035827989624574,9576.973257894593
9612.854395011724,0.0037466051278312196,9612.854395011724
9632.818677052368,0.002076831835818245,9632.818677052368
9670.85284263763,0.003948394219842287,9670.85284263763
9643.988358886287,-0.0027778815569297465,9643.988358886287
9538.01540377304,-0.010988498862672186,9538.01540377304
9570.492812697863,0.003405048906921947,9570.492812697863
9519.319598724189,-0.005346977943056243,9519.319598724189
9465.045288530588,-0.005701490493172972,9465.045288530588
9549.346985705095,0.008906634316548012,9549.346985705095
9599.055443212097,0.005205430023792586,9599.055443212097
9565.062535900219,-0.0035412762758772975,9565.062535900219
9520.243738881272,-0.004685677364965504,9520.243738881272
9754.574005311168,0.024613893599475297,9754.574005311168
9759.804944220223,0.0005362549821455401,9759.804944220223
9765.466404983004,0.0005800792941188217,9765.466404983004
9861.195699602484,0.009802838968411283,9861.195699602484
9824.17184394503,-0.003754499635266956,9824.17184394503
9771.938144533378,-0.005316855226208796,9771.938144533378
9744.945769350976,-0.002762233528617184,9744.945769350976
9688.740438902321,-0.0057676391207253635,9688.740438902321
9725.249513515106,0.0037681961698750295,9725.249513515106
9773.788230717912,0.0049909996792732595,9773.788230717912
9748.753422281716,-0.002561423252195397,9748.753422281716
9744.467337963544,-0.00043965460326202854,9744.467337963544
9766.140054920872,0.002224104838741948,9766.140054920872
9729.208124332445,-0.003781630242934976,9729.208124332445
9773.936697217,0.00459734978561003,9773.936697217
9734.541432548112,-0.004030644548793103,9734.541432548112
9751.234494437691,0.0017148277610452712,9751.234494437691
9751.372684702528,1.4171566165825099e-05,9751.372684702528
9747.070762330552,-0.0004411606971730482,9747.070762330552
9718.813554759878,-0.0028990461093068784,9718.813554759878
9757.086820981867,0.003938059517897089,9757.086820981867
9721.050040088054,-0.003693395534445671,9721.050040088054
9766.807277093834,0.004707026176913602,9766.807277093834
9755.701082137844,-0.0011371366958410128,9755.701082137844
9756.424868510752,7.419111828198045e-05,9756.424868510752
9760.448135969353,0.00041237107986011524,9760.448135969353
9730.711862701231,-0.0030466094234482036,9730.711862701231
9759.93554438492,0.0030032419103586225,9759.93554438492
9784.951139715138,0.0025630902188294477,9784.951139715138
9901.605074415016,0.011921769770152899,9901.605074415016
10012.762262864844,0.011226178747226525,10012.762262864844
10015.481406371819,0.0002715677687723997,10015.481406371819
10052.093915450723,0.0036555915380773246,10052.093915450723
10030.161777413114,-0.0021818477047749756,10030.161777413114
9950.923719348124,-0.007899978068491811,9950.923719348124
9986.02335405787,0.003527274019948466,9986.02335405787
9980.007996223812,-0.000602377705396988,9980.007996223812
9979.67897680555,-3.29678511666627e-05,9979.67897680555
9982.678854016567,0.0003005985681491822,9982.678854016567
9961.980972369085,-0.0020733794956405735,9961.980972369085
9906.60312201768,-0.00555891950657246,9906.60312201768
10010.969856809535,0.010535067722648386,10010.969856809535
10001.127281684987,-0.0009831789791929172,10001.127281684987
9802.817584443297,-0.019828734467248782,9802.817584443297
9725.869911888649,-0.007849546509644378,9725.869911888649
9746.919717112585,0.0021643107932387785,9746.919717112585
9865.441761413202,0.012159948757198436,9865.441761413202
9917.327292920429,0.0052593216565493045,9917.327292920429
9871.947728701005,-0.004575785680867712,9871.947728701005
9871.705825094328,-2.4504141768655834e-05,9871.705825094328
9878.008200317305,0.0006384281840080122,9878.008200317305
9864.202331221899,-0.0013976369340292067,9864.202331221899
9826.327234245162,-0.003839651266768425,9826.327234245162
9554.833473129045,-0.02762922042428517,9554.833473129045
9564.292058055311,0.0009899267164482659,9564.292058055311
9438.66392593593,-0.013135120859632518,9438.66392593593
9392.105948147064,-0.004932687311912199,9392.105948147064
9458.70618084086,0.007091086180404061,9458.70618084086
9423.062342927507,-0.0037683629485765514,9423.062342927507
9331.681959954056,-0.00969752503463345,9331.681959954056
9208.048327068294,-0.013248804815286402,9208.048327068294
9225.670554761718,0.0019137853177444626,9225.670554761718
9202.254401941002,-0.0025381518537567756,9202.254401941002
9182.21859250933,-0.002177271846281971,9182.21859250933
9243.456669413436,0.006669202686381492,9243.456669413436
9234.748901167777,-0.0009420467425862902,9234.748901167777
9213.660148100984,-0.0022836303718151707,9213.660148100984
9159.872148255232,-0.005837853684763726,9159.872148255232
9171.165603662083,0.0012329271876355765,9171.165603662083
9142.539282853802,-0.003121339428965342,9142.539282853802
9085.74178695561,-0.006212442095240724,9085.74178695561
9053.361745578302,-0.003563830244856438,9053.361745578302
9064.009684692277,0.001176130968054414,9064.009684692277
9192.150883633527,0.014137363418494605,9192.150883633527
9167.474537210146,-0.002684501890337451,9167.474537210146
9149.199715627386,-0.001993441215307914,9149.199715627386
9212.814586927168,0.0069530530840991546,9212.814586927168
9268.704789156964,0.006066571914852497,9268.704789156964
9267.538232672192,-0.00012585970869802792,9267.538232672192
9455.677501623411,0.02030088943015576,9455.677501623411
9383.669036380139,-0.007615368145847695,9383.669036380139
9385.860166085642,0.00023350458088493135,9385.860166085642
9243.678509486106,-0.01514849508554225,9243.678509486106
9202.151170435545,-0.004492512262076704,9202.151170435545
9211.681351935842,0.0010356471355214734,9211.681351935842
9358.584563178702,0.01594749162833194,9358.584563178702
9400.973661278962,0.0045294347466858925,9400.973661278962
8989.133060608297,-0.04380829215243596,8989.133060608297
9144.633770179604,0.01729874377460634,9144.633770179604
9118.766479493335,-0.00282868525261456,9118.766479493335
9021.676308592363,-0.010647292166030638,9021.676308592363
8938.009952880564,-0.009273925692957277,8938.009952880564
8965.01202548276,0.003021038547120112,8965.01202548276
9074.941214651359,0.01226202361537577,9074.941214651359
9024.183316296794,-0.0055931930746413805,9024.183316296794
9131.090003596728,0.01184668834318437,9131.090003596728
8968.156871213132,-0.017843776845854913,8968.156871213132
9048.270946420991,0.008933170589936645,9048.270946420991
9102.866013437697,0.006033756873549636,9102.866013437697
9120.410451227905,0.0019273531835257013,9120.410451227905
