portfolio_value,return,reward,turnover,weight_btc,weight_eth,weight_ltc,weight_bnb,weight_usdt,dsr,cumulative_dsr
10000.0,,,,0.0,0.0,0.0,0.0,1.0,,0.0
9963.315414938781,-0.0036684585061218093,0.0,0.6000000030792538,9.999997050598981e-09,9.999997050598981e-09,0.19999998615851372,0.3999999969207461,0.3999999969207461,0.0,0.0
10011.253509613942,0.004811460109280723,0.15489877388988493,0.5999999907622382,0.4000000107622328,0.19999999307925662,0.19999999307925662,9.99999739663605e-09,0.19999999307925662,0.0,0.0
10012.353741165885,0.00010989947970925631,0.0012497023411547738,0.5999999907622382,9.999997050598981e-09,9.999997050598981e-09,0.19999998615851372,0.3999999969207461,0.3999999969207461,0.0,0.0
9975.952900442275,-0.0036355927551727264,-0.04537564171903139,0.3999999800000058,0.19999999307925662,0.19999999307925662,9.99999739663605e-09,0.19999999307925662,0.4000000107622328,0.0,0.0
9928.227392697303,-0.004784055039279091,-0.04256667263528449,0.3999999932238132,9.999996720003926e-09,0.5999999863030697,9.999996720003926e-09,9.999996720003926e-09,0.39999998369694006,0.0,0.0
9917.755946156278,-0.0010547146158968639,-0.008221551612272482,0.7999999669207558,0.19999999307925662,9.99999739663605e-09,0.4000000107622328,0.19999999307925662,0.19999999307925662,-0.008221551612272482,-0.008221551612272482
9831.004229068005,-0.008747111499743467,-0.03700534970640727,0.400000007682979,9.999997050598981e-09,9.999997050598981e-09,0.19999998615851372,0.3999999969207461,0.3999999969207461,-0.03700534970640727,-0.045226901318679756
9622.265322236859,-0.021232714580058275,0.025547835782098526,0.5999999630792666,9.999996720003926e-09,0.39999998369694006,9.999996720003926e-09,0.5999999863030697,9.999996720003926e-09,0.025547835782098526,-0.01967906553658123
9499.371553334873,-0.012771812539608615,-0.022066127560011795,0.7999999669207558,0.4000000107622328,0.19999999307925662,0.19999999307925662,9.99999739663605e-09,0.19999999307925662,-0.022066127560011795,-0.041745193096593025
