timestep,MFN-A2C + DSR,MFN-A2C + PV,A2C + DSR,A2C + PV
62,9449.653066675628,9519.319598724189,9504.578092163118,9454.204840751054
63,9397.353002644766,9465.045288530588,9450.349346588722,9402.186472404584
64,9458.23976308377,9549.346985705097,9511.138091918923,9462.778504885477
65,9512.931174397128,9599.055443212095,9558.18853638286,9525.293957556756
66,9512.995347021828,9565.06253590022,9551.978451647889,9522.05146764228
67,9479.9961978518,9520.243738881272,9520.161234633,9486.714326064408
68,9637.40062394603,9754.574005311168,9666.297646952838,9649.746916130996
69,9666.51811156506,9759.804944220225,9691.38108407088,9675.46692015724
70,9685.417742144007,9765.466404983004,9713.15402896614,9695.370769161937
71,9787.548369932158,9861.195699602484,9820.732559050695,9801.633614897682
72,9738.928942835992,9824.17184394503,9772.62185748032,9750.438907291586
73,9692.144749013774,9771.938144533378,9732.59985980982,9705.360128358365
74,9667.615470167017,9744.945769350976,9710.152221895987,9682.457374948246
75,9619.27095553894,9688.74043890232,9663.417295404091,9634.20712048475
76,9640.336787408996,9725.249513515106,9683.925024945574,9657.97409928277
77,9675.375313611396,9773.788230717912,9718.344692470371,9691.63400528555
78,9657.100034613526,9748.753422281716,9694.480397496663,9673.013245394555
79,9646.367179523824,9744.467337963544,9684.487078489306,9666.189492603706
80,9667.614230779793,9766.140054920872,9705.66675314728,9685.254891814451
81,9641.49078317532,9729.208124332445,9680.937573964286,9659.079971132844
82,9661.228474271433,9773.936697217,9690.848143155394,9677.712445570569
83,9621.36859352251,9734.541432548112,9643.63816698732,9637.227497375308
84,9637.37837350809,9751.234494437693,9652.052655754907,9651.961512980157
85,9637.116853631593,9751.372684702528,9652.147919402129,9652.048948651283
86,9640.074817924631,9747.070762330552,9653.598364399626,9653.5284783821
87,9615.453327699037,9718.813554759878,9628.037092847211,9628.125797435585
88,9652.246609083728,9757.086820981867,9664.249902788995,9663.95395439834
89,9615.435729361014,9721.050040088054,9629.64527028778,9631.98669232066
90,9651.319913262354,9766.807277093834,9662.704959908751,9672.164534054073
91,9643.552125578908,9755.701082137844,9654.418719342706,9664.221764376312
92,9661.023214482626,9756.424868510752,9674.292249322658,9683.748714718176
93,9683.282163714288,9760.448135969353,9696.019400915577,9705.934829578831
94,9644.90914462242,9730.711862701231,9660.0142667827,9667.473041213403
95,9682.716956191842,9759.93554438492,9696.631891552392,9710.34929119326
96,9714.617228033952,9784.951139715138,9730.442827157229,9746.168989297094
97,9787.61357099552,9901.605074415016,9801.541909620191,9819.55096023537
98,9871.361681889726,10012.762262864844,9884.242471536763,9906.57057514861
99,9895.573619277817,10015.48140637182,9905.530291262356,9927.272436758843
