timestep,MFN-A2C,A2C,Buy-and-Hold
208,8779.293044063621,8732.191689457364,7953.558039515131
209,8749.895489142373,8705.436511524365,7956.689812149487
210,8702.652134202926,8660.989052506562,7789.1964288403005
211,8783.476091623697,8737.192816424496,8054.893751627213
212,8799.692595342276,8752.175796244073,7938.022173928158
213,8987.156028138177,8950.17885307135,8085.257839500446
214,8953.544086138474,8915.98088495688,8634.49187702063
215,8964.540036562812,8929.68912143547,8655.117498374208
216,8931.233958586801,8900.347428570323,8502.183467109886
217,8907.502897799788,8878.104784553681,8481.604098068347
218,8882.868723641091,8853.466507691375,8463.502403451344
219,8820.442886009121,8788.708298293395,8170.360307653956
220,8816.905148380081,8784.909048441068,8278.107282
221,8824.503303602032,8791.766509250418,8325.525506212809
222,8911.45818230374,8880.52473928231,8425.549288488577
223,8905.218428442007,8874.769467797543,8471.518855068178
224,8975.394025528287,8934.438295702294,8517.436850870728
225,8837.310418766274,8798.665910751275,8551.50702279153
226,8883.364005972939,8846.887878579775,8615.646373860724
227,8857.250235363419,8821.344135954427,8578.944441459684
228,8927.405029794494,8892.364303182978,8525.786616009475
229,8943.573988616175,8910.340107134687,8619.051041665125
230,8899.170263178636,8861.988231668149,8635.78058416242
231,8824.790904187535,8778.469954431366,8853.512562686725
232,8778.305004734735,8730.024290473732,8814.638834208048
233,8739.674580689585,8690.97422647487,8829.69357168148
234,8770.668786554648,8718.875664195542,8795.469312176156
235,8709.267328524547,8655.711337552792,8760.02110814327
236,8744.088420765695,8692.312055854967,8730.176227622007
237,8770.029265431853,8711.826410630183,8654.253191580043
238,8769.677478050682,8711.686569283547,8650.139739255197
239,8721.881170938608,8664.990833110583,8657.964340836048
240,8724.238268420435,8666.46559565603,8759.4358141711
241,8789.858358859216,8732.866711973196,8755.188147152958
242,8780.949204255066,8723.387569731285,8832.714639365297
243,8777.124558003274,8721.191060820845,8674.073845480078
244,8784.629942736978,8729.642911739502,8729.943531762057
245,8784.452022761745,8729.611005415127,8696.708749535557
246,8791.382894633281,8737.54485629825,8779.673775180865
247,8788.396609587076,8733.792530956816,8801.85826238025
248,8808.98122745162,8753.253378165547,8753.02347836069
249,8804.615691161787,8746.839439311736,8665.933509248285
250,8829.944393314901,8767.436606190062,8609.203252838028
251,8809.089855571141,8744.835947515034,8560.788234312207
252,8846.138337633938,8782.280195179252,8598.149644953612
253,8847.341935605311,8782.049881623281,8526.526373758026
254,8831.10607950538,8766.270312420405,8572.18145002897
255,8829.50463877426,8761.871043360337,8607.002735067788
256,8840.991834097826,8771.4884979377,8603.707871692315
257,8850.557502691854,8780.982090949494,8549.437412424719
258,8866.071154108455,8797.495063141183,8551.089894288913
259,8846.741877494158,8778.24378696427,8626.776694198226
260,8772.429360169486,8705.967480668985,8619.690092956642
261,8779.489710828315,8712.09721517651,8620.078588037884
262,8844.052258635315,8778.721024864257,8631.215299207035
263,8869.607163040151,8804.04402024327,8631.333277557025
264,9020.11802295279,8951.881135220458,8637.346928136345
265,9076.745288165568,9010.38996168357,8630.67132652726
266,9030.209404179124,8967.4615391719,8656.152496729146
267,9050.24416690596,8989.507921943276,8651.625919582739
268,8929.543486638788,8863.228230767283,8677.678472969352
269,8932.06707485411,8866.231433728346,8654.372739192178
270,8964.583530545977,8900.338913590194,8697.936189833008
271,9050.69670372411,8993.029137881726,8701.717286816229
272,9073.887252952818,9015.476858299216,8682.614544132914
273,9281.092198123955,9206.33061917141,8678.720715802852
274,9288.465895816673,9216.72379878734,8692.259576326824
275,9435.771897128025,9357.407595346913,8702.785958414815
276,9495.512730281416,9413.057379084628,8720.73580962621
277,9511.037736227445,9431.462907291449,8698.875504863772
278,9473.547915126386,9395.873323738326,8610.18109925062
279,9440.214326423527,9362.090969225776,8617.20378256587
280,9407.570955205165,9333.78380731978,8688.298798826958
281,9439.895368680063,9362.911933267747,8721.547213175907
282,9351.7761310291,9279.366325064968,8904.52548317678
283,9328.953707117274,9255.806528370736,8967.001239284995
284,9315.611477081657,9243.316505251469,8910.91651566151
285,9379.035163827975,9301.430142832956,8944.811290892254
286,9385.476866281895,9309.56644161402,8805.565254242836
287,9430.078179798906,9359.741011546326,8808.120662521875
288,9393.248075812891,9323.936470451305,8851.146610891063
289,9462.7050266661,9387.63611463146,8948.082823663479
290,9514.058192207893,9428.96722434454,8974.611035164642
291,9554.282539951402,9462.582731833234,9211.605459339538
292,9552.32014720158,9461.480436174155,9222.188156764869
293,9499.833139724631,9412.044059306929,9404.165079398532
294,9550.49479565379,9458.506898210871,9462.064906969212
295,9540.580023197124,9449.85905003552,9488.458459582784
296,9490.12855467484,9399.240823867533,9435.92025016538
297,9543.247269659469,9450.834597624009,9392.858511645403
298,9566.582385665482,9478.191737021723,9356.944613720005
299,9576.762801285297,9488.987877469704,9396.450679924605
300,9517.54007629034,9432.715744680678,9292.312537719692
301,9488.8910605909,9404.043925560156,9261.891376618783
302,9509.662449821168,9421.408154646191,9246.731204545937
303,9491.692813532482,9404.024494399466,9319.158184471866
304,9554.49370180492,9465.866491159188,9329.38263170882
305,9479.940325422192,9394.83073499598,9382.33766056596
306,9476.91253453091,9391.08638627345,9336.943770532327
307,9565.559118254172,9476.272424334864,9420.806099916545
308,9591.605514148352,9498.283080581336,9481.514450882823
309,9427.151592841194,9315.9010689921,9527.858139736458
