timestep,Proposed Method,A2C,A2C w/o TI,Buy and Hold
0,10000.0,10000.0,10000.0,10000.0
1,9992.901716751565,9992.619116567836,9993.268583266674,10114.935099478153
2,9963.678679764316,9966.437072539957,9966.717651712352,10246.745576161236
3,10017.50181880733,10016.4290068113,10021.298334092173,10091.41516854934
4,10057.947754763452,10058.34188710058,10061.75739436274,10234.439643802752
5,9981.505588452455,9981.41828897078,9977.874209029827,10317.269401969324
6,9928.619428429252,9928.294193915672,9922.250355861375,10482.013932226582
7,9917.06460735126,9916.606826157926,9910.669694498967,10499.91317515647
8,9799.077117019382,9789.598941931004,9793.02329493009,10488.272832487846
9,9676.77340003437,9676.940779783796,9656.518446109996,10367.03058548344
10,9542.666353973696,9544.87907316574,9521.233774939532,10150.895753194894
11,9405.800611066406,9420.70160137656,9386.798168145204,10212.07540463494
12,9509.653172269656,9519.975564756263,9487.618410558824,9989.27167238515
13,9562.119410882851,9570.259842494464,9539.886023584362,10151.136526324908
14,9684.712905171638,9685.681970660627,9661.522876898603,10240.179421286372
15,9338.284044932903,9345.6966278136,9308.602963871566,10230.891929073005
16,9056.707244476283,9080.917483517003,9018.123876671383,10179.724514972286
17,8984.288373610114,9008.066747978586,8939.550532398669,10052.305577994635
18,8991.18009144821,9019.85924485343,8950.731495516486,10089.228790677573
19,9164.32695374493,9187.81973767261,9114.410317794318,10080.370632599866
20,9189.226994908391,9222.533530239096,9142.982125074055,10042.227069400453
21,9203.067812560465,9239.373419719564,9158.005454368638,10111.405250516487
22,9341.856796822718,9382.157262266956,9298.708545338932,10163.175317665376
23,9268.240527799737,9309.641006160864,9222.77250298456,10066.683820971755
24,9146.593073474818,9190.439390309966,9096.94738567524,10000.311024831326
25,9252.153557088244,9290.40785431604,9203.355274253214,9985.7304174183
26,9300.17082730949,9333.85146253748,9249.945551822244,9836.982277534593
27,9181.841735595404,9223.650636482482,9133.637049026182,9681.953726535565
28,9294.283136355954,9335.35503217106,9246.261199474968,9512.932192651406
29,9355.97477863813,9396.074164520956,9307.955987388586,9343.79502074476
30,9335.175254514525,9379.533340958047,9283.234948081566,9472.339796478964
31,9289.114808466436,9330.678065430811,9236.805560193645,9537.243782211775
32,9336.072343278644,9372.10624568941,9280.65363500717,9691.269193091535
33,9242.538195594254,9281.440547450917,9195.635237275465,9260.90823250751
34,9145.321726403428,9179.943672980453,9097.754432561416,8917.962009227409
35,9218.068199281368,9251.985830991747,9170.915615072036,8828.999932025532
36,9289.940231945246,9322.455724571566,9242.056313703932,8840.677672947515
37,9284.1181106953,9315.50167502318,9239.134339096388,9054.36562532996
38,9346.886743615409,9373.266456532256,9303.473981577126,9083.590802296678
39,9439.90214480574,9464.9795649175,9395.201422267564,9098.16273742188
40,9467.358695380335,9492.060283622362,9424.945443694687,9269.500922601652
41,9422.135006425162,9447.660339323922,9381.24708155467,9180.115728440089
42,9475.811173021846,9500.405686180266,9434.892868837836,9030.340498685611
43,9439.003384002965,9465.634822115651,9398.347724605672,9158.97752617708
44,9521.61919165027,9545.087422977213,9477.824543179093,9217.626165471453
45,9533.68939512916,9562.907497638387,9487.415544614112,9071.071041779198
46,9564.571663684555,9592.20715081895,9514.674892746072,9210.714706695477
47,9580.399361024318,9612.95760779258,9531.478436620708,9287.614278904008
48,9534.93454630388,9561.97967276737,9489.07578621124,9266.12064748734
49,9515.495184759857,9543.260599147492,9468.893924033187,9212.397664866714
50,9319.677259421718,9363.847156127598,9274.764943818487,9264.548295120578
51,9388.09462688372,9430.464345305663,9342.65335761028,9151.491465479705
52,9368.340781410709,9412.937254718976,9325.699888288827,9034.674993040268
53,9389.231947027854,9428.870863940445,9336.878366475392,9121.774195472306
54,9573.873782157534,9612.619461076483,9518.230431580489,9210.00326014758
55,9554.01448301317,9598.432654298143,9494.838444724575,9201.627099891137
56,9582.348635267052,9626.14625684629,9523.953448608652,9279.084481089736
57,9599.39286904098,9639.884590221129,9541.723299825564,9394.082557938002
58,9639.478669671553,9683.457417789614,9577.932351691969,9427.179841610676
59,9599.054445690235,9645.636988748716,9535.897368723532,9371.773161637271
60,9492.414091452642,9552.088566578572,9432.315646152476,9439.942493405384
61,9502.133403532123,9559.690900055271,9441.800559714367,9393.274235561972
62,9450.670185426272,9504.578092163118,9391.742974578963,9493.612389118442
63,9398.03214432791,9450.349346588722,9338.90519069504,9511.200700544394
64,9459.693275212172,9511.138091918923,9399.926608856742,9552.341349480152
65,9513.405265959802,9558.18853638286,9453.404527071823,9576.754424506593
66,9511.651922578598,9551.978451647889,9450.542815616262,9515.972544917944
67,9478.026715188646,9520.161234633,9422.952733274187,9490.321986569215
68,9636.450129158166,9666.297646952838,9587.097784591915,9254.10979314334
69,9663.94952919718,9691.38108407088,9620.872384155817,9338.121153852446
70,9683.30586013187,9713.15402896614,9647.571434606847,9313.7027079947
71,9785.902402193173,9820.732559050695,9750.019175981037,9337.644619733264
72,9739.213276319317,9772.62185748032,9701.27568370207,9569.936142754355
73,9691.985039562202,9732.59985980982,9649.335990488313,9549.711107707788
74,9667.315051377604,9710.152221895987,9621.76642052907,9582.462456876454
75,9620.438537870235,9663.417295404091,9571.953587359196,9601.592747613102
76,9643.192971143772,9683.925024945574,9591.4506481739,9646.761378843476
77,9678.22263575252,9718.344692470371,9621.630413197528,9601.182698918195
78,9658.875330720715,9694.480397496663,9605.137224856584,9474.520484594412
79,9649.71135731462,9684.487078489306,9595.440270485591,9489.81926506656
80,9671.496841522228,9705.66675314728,9616.766672050622,9429.035038433212
81,9647.736853616603,9680.937573964286,9594.442861624371,9362.063784436285
82,9664.165290956043,9690.848143155394,9614.685985918592,9437.707416105426
83,9622.305288209833,9643.63816698732,9580.71559230907,9497.84757303374
84,9637.743479393388,9652.052655754907,9593.585739972656,9490.818450940014
85,9637.476930624724,9652.147919402129,9592.84366850746,9450.408859721789
86,9640.734520887348,9653.598364399626,9595.681766761074,9634.393059612064
87,9615.571034680952,9628.037092847211,9571.078408150375,9667.908688714724
88,9653.659309051,9664.249902788995,9612.559433303257,9696.351153384963
89,9617.97954265101,9629.64527028778,9578.872777104936,9821.308418315526
90,9656.674928204871,9662.704959908751,9615.46054247738,9768.40299763852
91,9649.006973821548,9654.418719342706,9607.568406641114,9711.530041040472
92,9665.935430114589,9674.292249322658,9626.08801583424,9683.113339306048
93,9687.450125533,9696.019400915577,9646.786798326848,9624.305521478242
94,9647.298709606885,9660.0142667827,9603.118002480138,9649.96799431314
95,9685.825000808789,9696.631891552392,9643.938937971392,9692.846114186892
96,9718.819449718703,9730.442827157229,9677.77745910255,9670.149273811092
97,9792.615803154764,9801.541909620191,9741.956398281533,9657.43062395954
98,9878.140738196676,9884.242471536763,9827.628443576514,9685.174206865911
99,9901.444388129075,9905.530291262356,9848.197819268857,9654.550024011602
100,9923.39188343013,9926.768366065868,9871.442542416224,9676.35788383859
101,9884.925336620328,9886.26361201913,9834.067060404665,9628.200280009383
102,9806.951378316471,9802.80635116776,9748.485090257684,9643.337657546845
103,9822.966777155923,9818.2987487213,9763.612004500996,9643.609889494815
104,9850.255597781865,9850.322004833137,9795.193667480304,9644.752027289043
105,9863.394146518687,9864.101447426056,9810.001234462969,9613.852412093498
106,9875.309899128588,9876.76914079364,9823.842106117703,9657.58107366538
107,9861.492549038054,9862.81048514849,9812.050133988165,9616.490808382296
108,9818.51907646243,9817.956934884976,9769.77924196382,9659.6313076531
109,9922.808598395275,9920.145206205916,9874.78537166876,9650.251123850756
110,9920.291129808966,9917.629392487095,9870.299843151282,9670.4052085251
111,9754.592837451688,9772.781189084892,9716.06842726714,9695.202709560435
112,9698.695736877298,9719.76588054904,9659.267980325798,9649.894736969598
113,9720.443658892202,9742.11838777594,9680.845369051623,9699.252101847536
114,9814.30808884148,9833.483571266295,9771.41204951217,9738.438518078296
115,9842.819316853189,9862.411835279272,9794.846541530274,9823.833573985608
116,9803.32088921542,9822.126016350809,9755.48129564276,9930.42693852115
117,9799.20266367756,9817.124469490958,9749.939750793686,9957.240683751226
118,9793.55686800174,9803.301164981804,9742.877325450663,9985.125770915662
119,9793.096238604458,9804.553846823635,9741.084020171123,9939.766244357908
120,9760.263626196936,9772.016739700166,9709.57464265738,9843.630762128672
121,9534.407322043213,9529.365987949735,9481.151603924834,9864.180581305473
122,9538.2910053434,9533.054174645324,9486.929314436444,9893.815677709412
123,9437.809453611091,9429.325315012877,9383.404137127303,9910.1749714034
124,9397.780382426035,9389.05359245549,9342.33577207675,9923.313115162731
125,9457.870363946477,9446.777707133426,9400.093534584425,9902.783031550398
126,9435.312612436046,9423.244196625505,9377.832429671358,9850.567276807104
127,9361.914806198936,9352.567369311551,9302.51788797692,9976.45877757268
128,9266.078035166482,9261.325386484858,9203.44704359776,9971.708144085542
129,9282.08912152358,9277.961757017354,9219.868768680504,9768.384978136555
130,9272.841961726126,9269.841824608877,9210.745806509349,9699.675820065042
131,9256.159624813516,9252.128416970358,9194.397205521056,9725.388247588207
132,9307.536412887166,9304.633755068042,9246.555486735137,9842.058858244254
133,9301.480820763203,9297.904382805626,9239.962365067882,9878.9496543165
134,9289.568859787956,9286.048560488558,9226.318627521372,9829.761757511798
135,9262.543650651398,9261.246669357612,9200.341184080937,9825.330218988744
136,9264.028121811974,9261.94790794918,9202.846316438268,9821.21544876822
137,9242.071800676616,9240.204332138215,9180.314845594705,9819.608831949963
138,9175.537758637787,9165.629231795056,9117.675399141364,9777.102880875707
139,9151.211557666826,9136.119569888357,9093.746598663278,9506.838362397266
140,9138.856298565355,9122.44678511521,9082.683006715471,9515.794146662674
141,9241.860190336249,9224.683829161831,9186.429600523195,9389.349394237614
142,9212.52962330504,9194.385579354914,9152.018235920346,9336.102569377052
143,9199.828064169931,9183.24494166071,9141.323545987783,9407.259821008734
144,9252.026390306204,9233.095592586917,9194.091396271251,9376.204860973718
145,9296.14125851786,9274.750372364742,9237.967556819143,9286.830675949155
146,9303.211989186044,9279.24655751326,9245.939654389156,9166.522925796022
147,9445.908033525964,9423.151389101944,9395.404456930592,9187.681642937596
148,9389.25669053296,9365.864589275934,9341.07698057476,9180.31911464826
149,9390.881695373637,9366.469820003187,9341.743304368732,9158.495814684466
150,9283.635094476076,9257.14802808538,9232.112029012604,9223.202749051929
151,9241.713440873484,9211.96978089078,9190.529977120465,9213.922008568516
152,9260.015875698598,9228.987102089464,9206.689261955791,9199.50976434053
153,9431.98888549996,9398.80290294016,9384.462460099365,9164.445299085775
154,9472.746942943688,9439.829504062847,9419.727593681922,9166.60390687416
155,9103.561005470849,9070.785339652111,9037.86292401142,9139.81161615748
156,9230.516806348633,9192.402522261116,9171.7960725285,9059.448439130105
157,9218.858452761217,9180.717782608168,9161.96997303904,9031.48175664739
158,9148.75686968552,9114.183795564151,9097.5768648195,9019.67670955093
159,9074.398192302133,9042.012921117035,9021.855828504438,9147.514750049844
160,9091.5109887697,9057.978850042064,9037.382493082894,9110.224841486288
161,9192.09262123152,9157.661079624317,9134.404132795033,9095.954862376268
162,9155.538988796698,9124.665720336756,9098.95210324523,9159.476302849213
163,9256.348614721748,9224.681244096497,9195.142775329305,9213.202756179442
164,9112.873736531708,9075.576914780935,9053.468907299972,9221.506528219925
165,9187.869854537328,9149.431314222003,9130.380672573829,9395.981924695425
166,9237.003544710473,9201.679793410189,9175.208310052343,9326.10287592993
167,9243.680913712758,9208.53836234734,9182.988094006856,9330.46602056117
168,9229.27711678436,9194.68601351266,9168.578971794448,9200.385415035398
169,9216.447980363197,9182.493460172103,9153.133156386251,9153.102805119786
170,9202.712282394952,9166.643016298302,9140.60500884001,9172.053413587391
171,9112.350232872692,9073.259661119358,9048.157313442318,9374.22190086449
172,9109.422112875884,9071.745978992838,9048.460176067803,9420.757510914164
173,9171.360160982513,9132.24038928541,9108.951347037317,8968.21705037795
174,9159.168868375067,9117.547137444431,9097.747017847596,9123.065691402278
175,9121.110074100588,9077.120592102625,9061.773466136672,9108.755580343846
176,9092.53032185861,9049.98547765761,9034.07358663041,9023.898632631975
177,8977.55978025709,8944.420893013315,8914.321713036177,8928.18703365162
178,8565.703550446071,8544.102782068718,8507.386739542979,8948.453609323886
179,8426.12828255191,8403.529340837495,8374.827856040294,9068.9719523988
180,8290.674423937671,8276.671863474397,8240.653725711163,9027.248054853522
181,7994.628977400496,7983.862184687677,7965.568007920586,9148.79937153196
182,8146.790681605927,8138.287509286979,8114.136928520369,8975.794515830807
183,8376.69552685787,8372.346420401584,8349.222523167924,9062.594343840045
184,8378.918528453814,8369.986241421937,8351.707386081582,9125.304233953548
185,8417.779979160992,8415.594218994525,8389.517011520364,9133.036531567235
186,8512.815536568609,8508.663986766678,8486.111242258305,9113.84328981306
187,8472.861358968337,8468.513153082777,8446.743672604302,9099.251804264257
188,8555.260995849481,8542.579175750014,8530.882210483427,9084.764611634271
189,8411.182368653741,8403.550907577897,8390.899016764299,8976.884981759678
190,8219.290819181311,8212.780533218476,8200.767409363409,8974.082309651334
191,8225.747748820553,8215.573305829099,8208.209231611258,9048.219352441958
192,8083.308245980432,8077.137183617309,8065.815313081259,9033.583238446306
193,8308.717806063049,8299.56015281938,8299.474684026985,8988.788755862772
194,8212.573187701912,8208.274443240494,8197.530980332149,8955.755648995
195,8336.322900720452,8325.847225937867,8322.23467891406,8822.742690676478
196,8808.298172005929,8752.475119286568,8806.251186437206,8341.26728223347
197,8820.721234316936,8771.702998555245,8828.13825491831,8185.297123234863
198,8690.306534329906,8644.265357579648,8704.214244562545,8035.855812026212
199,8668.342290749271,8619.596473287753,8679.163196128498,7692.573104595317
200,8652.566387260455,8605.00554076106,8664.586852274848,7868.434252626636
201,8406.08450345395,8364.062392681593,8425.30161116845,8129.96934566947
202,8496.714335461325,8453.807623145985,8514.657044550182,8130.511209818923
203,8539.16028388812,8491.665002833866,8557.649732810758,8179.378546126006
204,8624.54164723055,8576.898938115108,8644.829884527835,8291.822955240877
205,8664.321825977031,8617.489789331868,8688.21170395222,8245.639270758242
206,8700.675358834096,8651.573457229159,8727.228223546552,8337.67819051939
207,8728.448372037215,8678.17862530498,8755.650447815817,8171.224853948737
208,8779.293044063621,8732.191689457364,8813.68173003643,7953.558039515131
209,8749.895489142373,8705.436511524365,8784.57526301706,7956.689812149487
210,8702.652134202926,8660.989052506562,8739.322241927048,7789.1964288403005
211,8783.476091623697,8737.192816424496,8819.34700312453,8054.893751627213
212,8799.692595342276,8752.175796244073,8832.271201963398,7938.022173928158
213,8987.156028138177,8950.17885307135,9034.438126005,8085.257839500446
214,8953.544086138474,8915.98088495688,9000.420329168468,8634.49187702063
215,8964.540036562812,8929.68912143547,9011.399980720784,8655.117498374208
216,8931.233958586801,8900.347428570323,8975.931694656649,8502.183467109886
217,8907.502897799788,8878.104784553681,8945.05661239164,8481.604098068347
218,8882.868723641091,8853.466507691375,8923.557043133143,8463.502403451344
219,8820.442886009121,8788.708298293395,8864.061631136932,8170.360307653956
220,8816.905148380081,8784.909048441068,8860.99086927498,8278.107282
221,8824.503303602032,8791.766509250418,8865.629022839961,8325.525506212809
222,8911.45818230374,8880.52473928231,8954.532012330548,8425.549288488577
223,8905.218428442007,8874.769467797543,8945.613189286018,8471.518855068178
224,8975.394025528287,8934.438295702294,9014.689271330592,8517.436850870728
225,8837.310418766274,8798.665910751275,8869.935688019455,8551.50702279153
226,8883.364005972939,8846.887878579775,8915.925042216395,8615.646373860724
227,8857.250235363419,8821.344135954427,8890.089703401343,8578.944441459684
228,8927.405029794494,8892.364303182978,8955.999603224838,8525.786616009475
229,8943.573988616175,8910.340107134687,8971.783451734738,8619.051041665125
230,8899.170263178636,8861.988231668149,8924.281975666458,8635.78058416242
231,8824.790904187535,8778.469954431366,8849.304013077079,8853.512562686725
232,8778.305004734735,8730.024290473732,8803.396581273868,8814.638834208048
233,8739.674580689585,8690.97422647487,8763.405943548027,8829.69357168148
234,8770.668786554648,8718.875664195542,8793.402591067746,8795.469312176156
235,8709.267328524547,8655.711337552792,8734.28346553566,8760.02110814327
236,8744.088420765695,8692.312055854967,8767.637333681194,8730.176227622007
237,8770.029265431853,8711.826410630183,8794.681283168618,8654.253191580043
238,8769.677478050682,8711.686569283547,8798.627011835715,8650.139739255197
239,8721.881170938608,8664.990833110583,8750.56383335298,8657.964340836048
240,8724.238268420435,8666.46559565603,8753.740891019579,8759.4358141711
241,8789.858358859216,8732.866711973196,8820.95513021459,8755.188147152958
242,8780.949204255066,8723.387569731285,8812.922599068537,8832.714639365297
243,8777.124558003274,8721.191060820845,8810.417478270638,8674.073845480078
244,8784.629942736978,8729.642911739502,8815.927812514155,8729.943531762057
245,8784.452022761745,8729.611005415127,8815.498032054173,8696.708749535557
246,8791.382894633281,8737.54485629825,8823.030318456766,8779.673775180865
247,8788.396609587076,8733.792530956816,8818.955579807094,8801.85826238025
248,8808.98122745162,8753.253378165547,8838.994619122652,8753.02347836069
249,8804.615691161787,8746.839439311736,8834.60109560419,8665.933509248285
250,8829.944393314901,8767.436606190062,8860.491194494802,8609.203252838028
251,8809.089855571141,8744.835947515034,8840.144230421984,8560.788234312207
252,8846.138337633938,8782.280195179252,8878.681245447682,8598.149644953612
253,8847.341935605311,8782.049881623281,8881.822808057334,8526.526373758026
254,8831.10607950538,8766.270312420405,8865.823125697598,8572.18145002897
255,8829.50463877426,8761.871043360337,8865.483419110407,8607.002735067788
256,8840.991834097826,8771.4884979377,8876.385190390401,8603.707871692315
257,8850.557502691854,8780.982090949494,8887.33743098946,8549.437412424719
258,8866.071154108455,8797.495063141183,8903.952281196138,8551.089894288913
259,8846.741877494158,8778.24378696427,8883.431173959818,8626.776694198226
260,8772.429360169486,8705.967480668985,8809.647224764107,8619.690092956642
261,8779.489710828315,8712.09721517651,8816.427080357365,8620.078588037884
262,8844.052258635315,8778.721024864257,8882.017106145275,8631.215299207035
263,8869.607163040151,8804.04402024327,8906.584554549709,8631.333277557025
264,9020.11802295279,8951.881135220458,9058.830205340671,8637.346928136345
265,9076.745288165568,9010.38996168357,9115.600212070576,8630.67132652726
266,9030.209404179124,8967.4615391719,9068.250813773058,8656.152496729146
267,9050.24416690596,8989.507921943276,9083.6150144697,8651.625919582739
268,8929.543486638788,8863.228230767283,8959.46897488795,8677.678472969352
269,8932.06707485411,8866.231433728346,8962.498708098752,8654.372739192178
270,8964.583530545977,8900.338913590194,8996.975107905371,8697.936189833008
271,9050.69670372411,8993.029137881726,9072.56902263882,8701.717286816229
272,9073.887252952818,9015.476858299216,9094.721786104958,8682.614544132914
273,9281.092198123955,9206.33061917141,9315.104331288469,8678.720715802852
274,9288.465895816673,9216.72379878734,9323.455402777876,8692.259576326824
275,9435.771897128025,9357.407595346913,9480.952589518329,8702.785958414815
276,9495.512730281416,9413.057379084628,9540.644812722052,8720.73580962621
277,9511.037736227445,9431.462907291449,9560.39094995398,8698.875504863772
278,9473.547915126386,9395.873323738326,9520.553935887912,8610.18109925062
279,9440.214326423527,9362.090969225776,9486.42549689921,8617.20378256587
280,9407.570955205165,9333.78380731978,9459.289055970492,8688.298798826958
281,9439.895368680063,9362.911933267747,9490.460883934473,8721.547213175907
282,9351.7761310291,9279.366325064968,9399.11696643156,8904.52548317678
283,9328.953707117274,9255.806528370736,9374.427630848875,8967.001239284995
284,9315.611477081657,9243.316505251469,9364.188438596608,8910.91651566151
285,9379.035163827975,9301.430142832956,9425.570307224476,8944.811290892254
286,9385.476866281895,9309.56644161402,9434.104954700708,8805.565254242836
287,9430.078179798906,9359.741011546326,9479.28417623318,8808.120662521875
288,9393.248075812891,9323.936470451305,9442.017821225802,8851.146610891063
289,9462.7050266661,9387.63611463146,9517.130697100138,8948.082823663479
290,9514.058192207893,9428.96722434454,9566.375931350229,8974.611035164642
291,9554.282539951402,9462.582731833234,9605.86658546508,9211.605459339538
292,9552.32014720158,9461.480436174155,9604.329490604525,9222.188156764869
293,9499.833139724631,9412.044059306929,9550.045318412976,9404.165079398532
294,9550.49479565379,9458.506898210871,9601.317898665206,9462.064906969212
295,9540.580023197124,9449.85905003552,9591.952391895971,9488.458459582784
296,9490.12855467484,9399.240823867533,9544.898664701492,9435.92025016538
297,9543.247269659469,9450.834597624009,9597.335001395517,9392.858511645403
298,9566.582385665482,9478.191737021723,9620.7009442651,9356.944613720005
299,9576.762801285297,9488.987877469704,9632.321851186429,9396.450679924605
300,9517.54007629034,9432.715744680678,9575.900799842346,9292.312537719692
301,9488.8910605909,9404.043925560156,9547.458056553383,9261.891376618783
302,9509.662449821168,9421.408154646191,9568.741120499886,9246.731204545937
303,9491.692813532482,9404.024494399466,9553.524100199798,9319.158184471866
304,9554.49370180492,9465.866491159188,9613.18446928022,9329.38263170882
305,9479.940325422192,9394.83073499598,9538.414541441476,9382.33766056596
306,9476.91253453091,9391.08638627345,9535.47468131498,9336.943770532327
307,9565.559118254172,9476.272424334864,9640.340891847653,9420.806099916545
308,9591.605514148352,9498.283080581336,9668.505361024856,9481.514450882823
309,9427.151592841194,9315.9010689921,9504.5305179178,9527.858139736458
310,9513.902653845818,9406.014686400298,9599.315301736286,9526.73022841125
311,9529.935814809753,9421.977649840252,9615.73742462826,9460.282181829152
312,9547.568023518395,9442.060226374704,9633.258689589997,9518.460636417603
313,9587.346745146247,9482.189399317684,9674.149476500588,9506.313532917671
314,9554.350715582395,9453.262131144653,9641.076337299575,9447.80244317565
315,9516.415391204846,9418.234223247247,9600.618912544767,9513.560737492156
