timestep,Proposed Method,A2C,A2C w/o TI,Buy and Hold
382,10942.489419626265,10723.82856129748,11052.868181026668,9547.69215911351
383,11127.491356048758,10907.078261025245,11235.089796360404,9651.243884208949
384,11049.686480930555,10829.47409939442,11156.481459804072,9904.683190950183
385,10877.572821474036,10670.78765485784,10981.491608831502,9966.220265962682
386,10987.291856709575,10769.422166074206,11087.15743076891,9998.719670849969
387,10843.14075876604,10644.953312773134,10944.04399728491,10203.150123839803
388,10915.2586464808,10707.356943106195,11010.04539041666,10283.222614474797
389,10902.37114711544,10694.17902967011,10996.46955938667,10535.651624663024
390,10941.199079085623,10728.429046341416,11033.207239452644,10478.068051873655
391,11026.627377045294,10807.813224737754,11124.736256449209,10813.199384051946
392,11040.09399993411,10839.546443822454,11142.218406864893,10816.886033352126
393,10896.48531264161,10700.882619045502,10995.228180469225,10744.959679352853
394,10874.406725788887,10672.541732408752,10977.85073502354,10809.340922949936
395,10973.396595664475,10770.41649035483,11076.226305424148,10980.2844485692
396,10746.41710664094,10557.24963835803,10853.702424384202,11033.601755752365
397,10879.011684546998,10684.39647892835,10983.756815961648,11132.314048559903
398,10968.221589790888,10760.606245972944,11068.583083499327,10971.2482775974
399,10981.0701195635,10772.878882171,11077.994566563102,11056.073852684765
400,11211.28140579729,10984.30252989446,11332.139967739116,11176.803267413718
401,11165.58943296594,10941.0079075441,11285.040732850615,11414.792936808768
402,11120.806445770286,10900.017839886374,11239.863891117971,11312.81799844041
403,11127.83061143616,10911.365178799942,11249.277103117287,11098.527903075814
404,11079.356046511239,10855.944942285689,11206.701454655797,11241.116010887972
405,10968.65788100856,10752.582060068717,11106.213570958,11058.710439467017
406,10977.514315252516,10761.507691463406,11114.416816079483,11151.002179353742
407,11002.147410725513,10788.986294836966,11140.659395827037,11135.018479390035
408,10911.207397466287,10702.66589390694,11052.507049492018,11181.246507602064
409,10756.398565611447,10548.175562422028,10890.20541143481,11288.462325003868
410,10875.323267207796,10662.153136678611,11014.091410490257,11301.885197951951
411,10914.214664118914,10703.14200035408,11052.244508025198,11117.553662201854
412,10899.830434921574,10694.01544635396,11033.75811938475,11081.0439997318
413,10920.9568888262,10712.17647496701,11058.051159228578,11203.824794096205
414,11010.88229290455,10801.991882880107,11149.666380502204,10920.32223532116
415,10991.468283989836,10780.244813583226,11126.701591096764,11082.998909233884
416,11028.617828424123,10817.91396853664,11165.053371321264,11200.120866730516
417,11022.159857019687,10808.990585521857,11150.709280472216,11226.409345585276
418,10990.30086355405,10777.11462715602,11118.619840130154,11519.605887374271
419,10894.63091461105,10688.764948667951,11021.771177437116,11461.559718383998
420,10845.375721892317,10641.285614070162,10965.81401641615,11399.193171923802
421,10869.308084306469,10666.153089448717,10982.65292815368,11404.903694327577
422,10808.454443210152,10615.428906682544,10923.24586123317,11348.780896172151
423,10768.695019582614,10578.129163610654,10885.031395798971,11213.674778648689
424,10740.474426617826,10549.330528227092,10855.15989073676,11224.328625483924
425,10734.11390617118,10542.836739718645,10849.940819495245,11253.5017820165
426,10756.064542823528,10565.681571674637,10872.011703665912,11138.213094203797
427,10858.839868862382,10665.283067250177,10981.25079988582,10950.799646151534
428,10838.941376790786,10645.355477167455,10962.114024442362,11092.979738110267
429,11052.834422441883,10841.86658341683,11183.984473633489,11143.023223341102
430,10711.287107649148,10544.971427022729,10842.637564144452,11116.46016242843
431,10975.622970822344,10787.691652424097,11125.768950016856,11146.36334990048
432,10691.424661733854,10527.628245193182,10835.403121825682,11257.404980626476
433,10667.837410556176,10506.34052593884,10811.612565452759,11235.963676312796
434,10681.22045406356,10521.48104584313,10827.483482934798,11279.560550298218
435,10823.82194057367,10663.032016844676,10979.061696758905,11267.959104334339
436,10927.61298463894,10757.27628303095,11077.190381946544,11230.587459134029
437,10920.22695810215,10750.461253046376,11068.699045511274,11107.88350375292
438,10940.383984803531,10767.174200649762,11090.89786681114,11041.347752991505
