timestamp,portfolio_value,return,reward,turnover,weight_btc,weight_eth,weight_ltc,weight_bnb,weight_usdt,asset_return_btc,return_contribution_btc,pnl_contribution_btc,asset_return_eth,return_contribution_eth,pnl_contribution_eth,asset_return_ltc,return_contribution_ltc,pnl_contribution_ltc,asset_return_bnb,return_contribution_bnb,pnl_contribution_bnb,asset_return_usdt,return_contribution_usdt,pnl_contribution_usdt,dsr,cumulative_dsr
2025-06-04 18:00:00+00:00,10000.0,,,,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,0.0
2025-06-04 20:00:00+00:00,9982.451321563347,-0.0017548678436652761,0.0,0.7692623139719168,0.19907515284125285,0.2981008558936407,0.12376030538227943,0.1483259998547439,0.23073768602808317,-0.0013097434191794433,-0.00026073737135597275,-2.6073737135597277,-0.004307285954452955,-0.001284005629601083,-12.84005629601083,-0.0015721504772600037,-0.00019456982317259442,-1.9456982317259441,-0.00010487048495111395,-1.555501953562585e-05,-0.1555501953562585,0.0,0.0,0.0,0.0,0.0
2025-06-04 22:00:00+00:00,9966.57346508787,-0.0015905768998020675,0.0,0.21729680948903624,0.08670890846032622,0.2235541090396307,0.09337648712817985,0.2380632260812703,0.358297269290593,0.00016289606906716436,1.4124540341291732e-05,0.14099753639640247,-0.0018942570091320388,-0.0004234689379685885,-4.227258059465563,-0.005736137667303964,-0.0005356203850564762,-5.34680442066329,-0.0027119355128704115,-0.0006456121171182945,-6.444791531744829,0.0,0.0,0.0,0.0,0.0
2025-06-05 00:00:00+00:00,9934.848042946422,-0.0031831824902087617,0.0,0.217980583572291,0.16547985960182532,0.2540498163171182,0.14565260527813065,0.2945010330846239,0.14031668571830197,-0.0022276626429599267,-0.0003686333013972398,-3.674010880053469,-0.004227207637231611,-0.0010739213237730102,-10.703315769108121,-0.00475113122171944,-0.0006920146404617042,-6.8970147530779435,-0.003560643620137971,-0.0010486132245768076,-10.451080739207438,0.0,0.0,0.0,0.0,0.0
2025-06-05 02:00:00+00:00,9954.4465344806,0.001972701691002832,0.0,0.2880086776919676,0.32605233685908336,0.14263613030420239,0.1984209993071603,0.1179060414055722,0.2149844921239819,0.0007455810995669054,0.00024309845983175443,2.4151462579027947,0.0003106209350840494,4.430576817186166e-05,0.4401710742134577,0.005796771993634708,0.0011502012917327588,11.427075052165645,0.004538327000783937,0.0005350961712664572,5.3160991498946855,0.0,0.0,0.0,0.0,0.0
2025-06-05 04:00:00+00:00,9963.71578442724,0.0009311667820539095,0.0,0.1962293076451848,0.13619350265416363,0.16523646121522514,0.19205052586689517,0.26422141483388684,0.24229809542982922,0.002598236295479728,0.0003538629018045626,3.522509336549677,0.0063293322956960996,0.0010458364703960605,10.410723228367486,-0.0014690925528307863,-0.00028213999731829196,-2.808547518543437,-0.0007054409005629036,-0.00018639259282842167,-1.8554350997337357,0.0,0.0,0.0,0.0,0.0
2025-06-05 06:00:00+00:00,9947.22180622119,-0.0016554043253450075,-0.022196310141479686,0.1270632040827187,0.09599857287400856,0.15468830866756855,0.16860688648820818,0.39128461891660554,0.18942161305360913,-0.0037881084827146028,-0.0003636530082325278,-3.6233352181808867,-0.004529523809523761,-0.0007006643771647126,-6.981220714341928,-0.006224535989135305,-0.001049499632961903,-10.456916058693107,0.001171558172369247,0.00045841269301413566,4.567493785166743,0.0,0.0,0.0,-0.022196310141479686,-0.022196310141479686
2025-06-05 08:00:00+00:00,9936.707043064258,-0.0010570552624409413,-0.013675561625224597,0.19455900109849533,0.18101488370764507,0.22220399501725735,0.19249172615763677,0.19672561781811024,0.2075637772993506,-0.001253425491370086,-0.00022688866955655399,-2.2569119213974678,-0.0034518256024430594,-0.0007670094389656989,-7.629613016857081,-0.0033025851269787854,-0.0006357203118746844,-6.323650948937597,0.0029104656745080337,0.0005725631579559958,5.69541273025875,0.0,0.0,0.0,-0.013675561625224597,-0.03587187176670428
2025-06-05 10:00:00+00:00,9952.973733783989,0.0016370303209336345,0.029275584406188635,0.2123518116383193,0.17097584264455476,0.1409430447000987,0.1390247393702306,0.1291407843474461,0.41991558893766995,0.0036543927101586604,0.0006248128729734951,6.208582475472943,0.002146623196586761,0.0003025516091507966,3.006366705539145,0.004798903107861019,0.0006671662538333678,6.6294356133608225,0.00032909498878086474,4.249958497597485e-05,0.4223059253580772,0.0,0.0,0.0,0.029275584406188635,-0.006596287360515648
2025-06-05 12:00:00+00:00,9930.385199961273,-0.0022695261162041565,-0.025101731724665673,0.1392175449710561,0.22259322677384002,0.16361917676694965,0.15048389787296632,0.18260565461963024,0.28069804396661385,-0.0006883698760724588,-0.00015322647192887699,-1.5250590504285024,-0.00063992520155709,-0.00010470403467119539,-1.0421165069036158,-0.0011371389583806346,-0.00017112110288032271,-1.7031638422639996,-0.01007895681301596,-0.0018404745067237616,-18.318194423120644,0.0,0.0,0.0,-0.025101731724665673,-0.03169801908518132
