Method,Peak PV,Peak Improve,Final PV,Final Improve
MFN-A2C + DSR,14693.854003246506,1.007211825018257,13719.58716094292,1.0081281590295652
MFN-A2C + PV,17359.257902576843,1.1899158538769985,16278.329862064464,1.1961469775589932
A2C + DSR,14168.04095707631,0.9711691967374477,13086.661787995345,0.9616202077663373
A2C + PV,14588.643260795874,1.0,13608.971278165209,1.0
