timestamp,portfolio_value,return,reward,turnover,weight_btc,weight_eth,weight_ltc,weight_bnb,weight_usdt,dsr,cumulative_dsr
2025-06-04 18:00:00+00:00,10000.0,,,,0.0,0.0,0.0,0.0,1.0,,0.0
2025-06-04 20:00:00+00:00,9978.508302728089,-0.0021491697271911123,0.0,0.9124859336580518,0.24349412387416575,0.3157605964563714,0.2951994114148137,0.05803180191270083,0.08751406634194824,0.0,0.0
2025-06-04 22:00:00+00:00,9954.518893124145,-0.0024041077960907033,0.0,0.001895382614583014,0.2451280378148929,0.3160220651302273,0.2943613410978562,0.05786052092366119,0.08662803503336239,0.0,0.0
2025-06-05 00:00:00+00:00,9919.87195674389,-0.0034805234438990027,0.0,0.00486058341114359,0.24600302333157953,0.3111614817190837,0.29567647839905464,0.05964364352049303,0.08751537302978908,0.0,0.0
2025-06-05 02:00:00+00:00,9942.190124966619,0.0022498443850938223,0.0,0.004735979737428543,0.2442344633949177,0.3158974614565122,0.2943467725828668,0.05803070001011119,0.08749060255559203,0.0,0.0
2025-06-05 04:00:00+00:00,9963.339918252645,0.002127277090881098,0.0,0.005596710502590356,0.24196685334915677,0.3125683609996829,0.2979794271364112,0.05953671575520055,0.08794864275954874,0.0,0.0
2025-06-05 06:00:00+00:00,9922.273603522613,-0.004121741812180674,-0.039790523025204486,0.007866747970690667,0.24348668964895356,0.3047016130289922,0.30359308694402015,0.0601690045957524,0.08804960578228176,-0.039790523025204486,-0.039790523025204486
2025-06-05 08:00:00+00:00,9900.712411094384,-0.002173009260757982,-0.01823708544721692,0.006960178304773648,0.24061775093374743,0.30061037343942465,0.30686576891402706,0.06173997216491441,0.09016613454788647,-0.01823708544721692,-0.0580276084724214
2025-06-05 10:00:00+00:00,9930.707891359052,0.0030296284771442693,0.03837636642924658,0.02621027391297692,0.23101782825666728,0.28400002220352794,0.3237943872768116,0.06654517233353542,0.0946425899294579,0.03837636642924658,-0.019651242043174824
2025-06-05 12:00:00+00:00,9917.429345325434,-0.0013371197883257659,-0.011047873433043802,0.02036211552553692,0.23873903047301287,0.2966409355127192,0.3112096877777305,0.06241343945907543,0.09099690677746199,-0.011047873433043802,-0.030699115476218626
2025-06-05 14:00:00+00:00,9881.850847985335,-0.0035874717228883968,-0.024634299138278856,0.0038916400661006337,0.23944783252908858,0.2927492954466186,0.313495214006042,0.06302754225703652,0.09128011576121434,-0.024634299138278856,-0.05533341461449748
2025-06-05 16:00:00+00:00,9875.865460453153,-0.0006056949881411421,-0.004510535760018513,0.02879788093692387,0.2283693207710098,0.27502992626777345,0.330569954191596,0.06882609999128626,0.09720469877833442,-0.004510535760018513,-0.059843950374515995
2025-06-05 18:00:00+00:00,9799.17201053057,-0.007765744706597564,-0.024113750204725865,0.007436433950675392,0.2278256325443744,0.26813718054373353,0.33504634707321246,0.07070859946662301,0.0982822403720567,-0.024113750204725865,-0.08395770057924186
2025-06-05 20:00:00+00:00,9676.707012715413,-0.012497484244949578,-0.0065877908941756125,0.019853381580407232,0.2224388731136913,0.25367055839400937,0.3453038532134808,0.07558510331435415,0.10300161196446442,-0.0065877908941756125,-0.09054549147341748
2025-06-05 22:00:00+00:00,9487.261579639115,-0.01957746915633202,0.00717845464053954,0.04727005914334971,0.20619323200850567,0.22264614035584523,0.3645024387039492,0.09110328312846162,0.11555490580323818,0.00717845464053954,-0.08336703683287794
2025-06-06 00:00:00+00:00,9467.947147712433,-0.00203582791141044,-0.004908109201892383,0.0493381956417049,0.18963237608504466,0.1898688006376014,0.3834739260023414,0.10865584401987745,0.1283690532551351,-0.004908109201892383,-0.08827514603477032
2025-06-06 02:00:00+00:00,9499.030619469835,0.003283021258194434,0.010809585154026425,0.03434433304890871,0.1760097718145169,0.16914707185922037,0.3863123429316928,0.1270327744485567,0.1414980389460131,0.010809585154026425,-0.0774655608807439
2025-06-06 04:00:00+00:00,9560.993249943469,0.006523047767277532,0.022845686065237323,0.040824812374131964,0.15832148803412788,0.14601054326547755,0.3893465238133427,0.15151328755633597,0.15480815733071598,0.022845686065237323,-0.05461987481550658
2025-06-06 06:00:00+00:00,9542.694676883577,-0.0019138778348160405,-0.0045569626021636995,0.0025985806988580717,0.15874186091334605,0.14388947864200585,0.3905933571013718,0.15244466208794671,0.1543306412553295,-0.0045569626021636995,-0.059176837417670276
2025-06-06 08:00:00+00:00,9550.752600765421,0.0008444075970872122,0.0026322379962725106,0.04600990099102269,0.14024417159248176,0.1192080205560467,0.3877626035171726,0.1832646744650124,0.1695205298692866,0.0026322379962725106,-0.056544599421397765
2025-06-06 10:00:00+00:00,9564.432074408882,0.0014322927433345109,0.004319636311320604,0.057823071436188526,0.12040477268453738,0.09725654345325768,0.37173040809171737,0.22114938870849069,0.1894588870619967,0.004319636311320604,-0.05222496311007716
2025-06-06 12:00:00+00:00,9612.473753043792,0.00502295152092242,0.015798865692359613,0.008553794587361545,0.1148523055515737,0.09531608207629795,0.3706695420142793,0.22596679574298884,0.1931952746148602,0.015798865692359613,-0.036426097417717546
2025-06-06 14:00:00+00:00,9686.596977204506,0.007711149706623955,0.024513369746999063,0.0621340181435358,0.09972105304600064,0.07559201846708014,0.3433908399855344,0.2705538942300651,0.2107421942713197,0.024513369746999063,-0.011912727670718482
2025-06-06 16:00:00+00:00,9712.814320846323,0.002706558733011594,0.007368457661128471,0.039980683106343944,0.0906332206706619,0.06509690248757521,0.32299310523403413,0.29617800382854753,0.22509876777918125,0.007368457661128471,-0.0045442700095900115
2025-06-06 18:00:00+00:00,9715.428776895853,0.0002691759528355989,0.000845939537904587,0.016682266434930045,0.09683424490012973,0.07094756459702371,0.3276236853300479,0.286740242915876,0.21785426225692275,0.000845939537904587,-0.0036983304716854248
2025-06-06 20:00:00+00:00,9695.178735115178,-0.00208431786652903,-0.004926226354869937,0.021234021726113494,0.08814187683034401,0.0638082030641054,0.3222213932066384,0.30159089649396226,0.22423763040494998,-0.004926226354869937,-0.00862455682655536
2025-06-06 22:00:00+00:00,9719.676222518381,0.002526770065050431,0.00684489821324083,0.0024208220727613243,0.08771822966292979,0.0624767420121597,0.321555679353237,0.3040042847036438,0.22424506426802973,0.00684489821324083,-0.001779658613314531
2025-06-07 00:00:00+00:00,9699.836733194394,-0.0020411677168859057,-0.004824008943889674,0.012501956601253524,0.08983440882713585,0.06712117131170012,0.327297027490744,0.2953199972419799,0.22042739512844015,-0.004824008943889674,-0.006603667557204205
2025-06-07 02:00:00+00:00,9682.267701080717,-0.0018112709107313378,-0.004260918877962571,0.12025442229967735,0.1278669957503411,0.10675817720881878,0.3698818569700975,0.20940855384439921,0.18608441622634353,-0.004260918877962571,-0.010864586435166777
2025-06-07 04:00:00+00:00,9741.74200717073,0.00614260087885973,0.017413209876629795,0.0067943738693896985,0.1315627126565362,0.10333121158479659,0.36668242840458104,0.20924057416454817,0.18918307318953811,0.017413209876629795,0.006548623441463019
2025-06-07 06:00:00+00:00,9760.505672321417,0.001926109841225051,0.005011684370211496,0.026123622364436536,0.14667480742521555,0.11434273918055375,0.3634359794492465,0.19125667737641197,0.18428979656857228,0.005011684370211496,0.011560307811674515
