timestamp,portfolio_value,value_btc,value_eth,value_ltc,value_bnb,value_usdt
2025-03-08 12:00:00+00:00,10000.0,2000.0,2000.0,2000.0,2000.0,2000.0
2025-03-08 16:00:00+00:00,10055.723362163031,2010.333439628163,2036.8355937346814,1990.612127598429,2017.9422012017571,2000.0
2025-03-08 20:00:00+00:00,10097.285598632683,2006.4598249171754,2077.182007049651,1999.8084107673149,2013.8353558985407,2000.0
2025-03-09 00:00:00+00:00,10020.995793338836,2006.2024836227047,2057.5363570578215,1960.7242072995498,1996.53274535876,2000.0
2025-03-09 04:00:00+00:00,9968.342833758654,2003.7186515083497,2041.1307453488648,1942.714819427148,1980.77861747429,2000.0
2025-03-09 08:00:00+00:00,9956.799992624328,2001.133604689568,2040.2623777399103,1942.9064086598332,1972.4976015350178,2000.0
2025-03-09 12:00:00+00:00,9838.324691954514,1978.3170181822327,2004.43521090595,1908.9951144745664,1946.577348391766,2000.0
2025-03-09 16:00:00+00:00,9713.605481874938,1933.0938228898565,1958.0382361866527,1914.7427914551204,1907.730631343309,2000.0
2025-03-09 20:00:00+00:00,9579.46118943502,1922.8667168707111,1905.2452204766685,1864.3548232589328,1886.9944288287072,2000.0
2025-03-10 00:00:00+00:00,9445.151548134787,1878.509547164249,1886.5332990966176,1813.0089088993197,1867.0997929746013,2000.0
2025-03-10 04:00:00+00:00,9547.91951219712,1909.0603331545983,1921.5014356077409,1830.0603506082957,1887.2973928264857,2000.0
2025-03-10 08:00:00+00:00,9599.380178424413,1915.3726405485418,1937.766988024931,1845.5790784557908,1900.6614713951492,2000.0
2025-03-10 12:00:00+00:00,9722.387844934801,1944.764925358809,1987.0771960129791,1880.256729571798,1910.2889939912143,2000.0
2025-03-10 16:00:00+00:00,9379.360572249418,1862.439909586184,1884.1056047059924,1780.0555608774787,1852.7594970797636,2000.0
2025-03-10 20:00:00+00:00,9105.792885350264,1839.567713160785,1745.5402787179908,1710.508669412779,1810.1762240587077,2000.0
2025-03-11 00:00:00+00:00,9035.606501052436,1828.7486756288604,1741.5065711151053,1676.2141967621417,1789.1370575463284,2000.0
2025-03-11 04:00:00+00:00,9045.031827216375,1850.304615541762,1727.1925114965336,1672.5740013411246,1794.960698836955,2000.0
2025-03-11 08:00:00+00:00,9214.728964973683,1871.3072484038034,1777.9126496883682,1686.5600153271387,1878.9490515543735,2000.0
2025-03-11 12:00:00+00:00,9238.766546985962,1901.448056671858,1787.2686103783935,1705.3357601302807,1844.7141198054298,2000.0
2025-03-11 16:00:00+00:00,9249.8866633826,1890.0910688028475,1787.6140899647519,1724.303094166108,1847.8784104488918,2000.0
2025-03-11 20:00:00+00:00,9386.611073979808,1933.6431744235326,1822.544877331404,1758.980745282115,1871.4422769427567,2000.0
2025-03-12 00:00:00+00:00,9315.40716262383,1929.6639241359728,1795.9522864679382,1732.9246096369384,1856.8663423829803,2000.0
2025-03-12 04:00:00+00:00,9196.334957914245,1910.9273372656603,1745.0360652676302,1698.8217262189864,1841.5498291619679,2000.0
