timestep,Proposed Method,A2C,DQN,Buy and Hold
0,10000.0,10000.0,10000.0,10000.0
1,9992.901716751565,9992.619116567836,10008.385040931764,10114.935099478153
2,9963.678679764316,9966.437072539957,9963.608921686277,10246.745576161236
3,10017.50181880733,10016.4290068113,10052.99345932154,10091.41516854934
4,10057.947754763452,10058.34188710058,10033.622830881495,10234.439643802752
5,9981.505588452455,9981.41828897078,9947.415253177009,10317.269401969324
6,9928.619428429252,9928.294193915672,9868.92275069048,10482.013932226582
7,9917.06460735126,9916.606826157926,9827.663871342576,10499.91317515647
8,9799.077117019382,9789.598941931004,9698.520223761903,10488.272832487846
9,9676.77340003437,9676.940779783796,9504.972471960851,10367.03058548344
10,9542.666353973696,9544.87907316574,9401.657553491728,10150.895753194894
11,9405.800611066406,9420.70160137656,9184.777769620005,10212.07540463494
