timestep,Proposed Method,A2C,DQN,Buy and Hold
960,14173.117983539361,13770.332855397364,12781.855218253038,14752.30819746881
961,14144.12512675471,13739.38356852101,12774.022645170053,14786.080121965222
962,14117.27859991137,13714.338816106016,12708.650787143732,14729.786615140323
963,13786.650514991015,13394.099709006678,12331.030398235616,15174.151683005792
964,13754.060343637075,13365.437307334434,12362.05943642528,15373.441174465392
965,13861.504683837416,13470.313130902225,12468.853555307634,15513.96840493646
966,13888.52263626334,13496.809669272974,12468.85355556022,15597.683782085516
967,13891.870860555839,13497.25362270551,12522.818297528464,15629.593042701496
968,13781.500204141106,13391.12910866755,12388.805854049311,15774.865463342358
969,13851.093573228873,13457.745584330896,12467.054730494352,15650.548323595243
970,13897.169542072435,13503.250977145495,12507.977993544067,15809.854921557877
971,13932.368393422654,13536.647476724032,12572.435880062336,15866.311241948277
972,13967.870996532743,13571.962136316048,12660.128586032448,15979.75224088096
973,14070.945058987085,13655.166671393794,12804.784075764886,15828.618453888974
974,14141.89029370898,13717.875258284295,12914.962091199735,15743.595691646542
975,14140.487238253072,13714.751577832263,12892.027075869457,15365.69058170907
976,13993.882132458206,13565.562399373255,12758.614240288143,15200.504655509458
977,14012.97919211247,13582.589999414107,12822.322616344092,15220.013692223802
978,13708.693804848988,13272.81953367937,12527.315357625695,15411.371282393584
979,13636.09257771762,13206.535318154294,12445.019125529992,15384.064835020243
980,13652.101993429764,13219.625392413327,12464.956099771256,15349.753126872434
981,13799.810681803669,13362.264780696669,12619.355223880058,14873.525732541995
982,13814.990090297304,13377.254100724676,12665.375156716378,14815.505759932126
983,13790.775535540264,13355.080636879433,12696.704687214064,14961.93787502703
984,13625.943056251283,13193.869424377515,12621.753655220236,14989.760414847842
985,13618.353484046933,13184.362764484997,12567.039402923932,15007.371755928438
986,13733.152288420775,13299.9487692138,12688.609975387477,14851.725441107172
987,13522.327274163245,13097.3383954475,12474.84963457337,14936.746265052205
988,13450.978222475587,13029.319125748749,12485.192876100946,14994.953036395578
989,13363.279315283067,12948.217240547392,12353.4289637658,15036.077053977804
990,13485.161199524044,13065.674350757186,12540.057030715236,15095.173812653142
991,13511.71470230966,13085.991522868871,12507.228479646108,15219.7019055141
992,13531.49435537227,13103.33430080024,12457.311093563463,15344.044562320449
