timestamp,portfolio_value,return,reward,turnover,weight_btc,weight_eth,weight_ltc,weight_bnb,weight_usdt,asset_return_btc,return_contribution_btc,pnl_contribution_btc,asset_return_eth,return_contribution_eth,pnl_contribution_eth,asset_return_ltc,return_contribution_ltc,pnl_contribution_ltc,asset_return_bnb,return_contribution_bnb,pnl_contribution_bnb,asset_return_usdt,return_contribution_usdt,pnl_contribution_usdt,dsr,cumulative_dsr,trailing_return_3_btc,trailing_return_3_eth,trailing_return_3_ltc,trailing_return_3_bnb,trailing_return_3_usdt,strength_rank_corr_3,weight_on_trailing_winner_3,weight_on_trailing_loser_3,trailing_return_6_btc,trailing_return_6_eth,trailing_return_6_ltc,trailing_return_6_bnb,trailing_return_6_usdt,strength_rank_corr_6,weight_on_trailing_winner_6,weight_on_trailing_loser_6,trailing_return_18_btc,trailing_return_18_eth,trailing_return_18_ltc,trailing_return_18_bnb,trailing_return_18_usdt,strength_rank_corr_18,weight_on_trailing_winner_18,weight_on_trailing_loser_18,trailing_return_42_btc,trailing_return_42_eth,trailing_return_42_ltc,trailing_return_42_bnb,trailing_return_42_usdt,strength_rank_corr_42,weight_on_trailing_winner_42,weight_on_trailing_loser_42,weight_on_realized_winner,weight_on_realized_loser
2025-03-08 12:00:00+00:00,10000.0,,,,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-08 16:00:00+00:00,10038.067642663804,0.003806764266380446,0.0,0.7566416707731407,0.1585107975350562,0.13591183881088667,0.2679851332794686,0.19423390114772915,0.2433583292268593,0.005166719814081455,0.0008189808783702287,8.189808783702288,0.018417796867340686,0.0025031966390856608,25.031966390856606,-0.004693936200785509,-0.001257905118372827,-12.579051183728271,0.008971100600878579,0.0017424918672973835,17.424918672973835,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13591183881088667,0.2679851332794686
2025-03-08 20:00:00+00:00,10071.192840533811,0.0032999576262286103,0.0,0.005580198830577768,0.1570896779828662,0.13849893400210753,0.2709782369188255,0.19294055058201742,0.24049260051418325,-0.0019268518518518185,-0.0003026885369280916,-3.038408008343124,0.019808379939488363,0.0027434395059278693,27.538831334060117,0.004619826756496526,0.0012518725093458446,12.566380928804863,-0.002035164981816995,-0.00039266585211701247,-3.941606384514793,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13849893400210753,0.19294055058201742
2025-03-09 00:00:00+00:00,9987.06770144904,-0.008353046199869263,0.0,0.0053515590727017115,0.15536318428214974,0.14103373093065988,0.2737949990629749,0.19183292275232114,0.2379751629718943,-0.0001282563903224343,-1.9926321205027686e-05,-0.2006818234582519,-0.009457837553548676,-0.0013338741167130744,-13.433703454414076,-0.019543973941367976,-0.005351042326963651,-53.891379172709705,-0.008591869483819181,-0.0016482034349875102,-16.59937463418945,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2379751629718943,0.2737949990629749
2025-03-09 04:00:00+00:00,9933.816870855753,-0.005331978533154506,0.0,0.0026641461514065046,0.1559017873473873,0.1398258300272363,0.272338753814992,0.19296268829380844,0.238970940516576,-0.0012380764826240842,-0.00019301833651386122,-1.9276871943850051,-0.007973424942252838,-0.0011148907607103718,-11.134489506934504,-0.009185069376587807,-0.0025014503477241686,-24.982153974534512,-0.007890743550834745,-0.0015226190882061041,-15.206499917432968,0.0,0.0,0.0,0.0,0.0,0.0031012418113525175,0.02876817852891067,-0.01963789635022517,-0.0017336273206201014,0.0,-0.9,0.1398258300272363,0.272338753814992,,,,,,,,,,,,,,,,,,,,,,,,,0.238970940516576,0.272338753814992
2025-03-09 08:00:00+00:00,9923.456908165614,-0.0010428984976091006,0.0,0.0011577381854801783,0.15613023175244692,0.1401224008866683,0.2724896854348059,0.1934444795949831,0.2378132023310958,-0.0012901246474076311,-0.00020142746018929732,-2.0009435022820674,-0.00042543458371446796,-5.961291529029153e-05,-0.5921837836315929,9.861932938837192e-05,2.6872750042828975e-05,0.26694897774174414,-0.004180687264198957,-0.0008087308721723408,-8.033784381967486,0.0,0.0,0.0,0.0,0.0,-0.003290393518518453,0.002108737508022429,-0.024061597690086534,-0.018416574917425876,0.0,-0.7,0.1401224008866683,0.2724896854348059,,,,,,,,,,,,,,,,,,,,,,,,,0.2724896854348059,0.1934444795949831
2025-03-09 12:00:00+00:00,9808.750362316263,-0.01155913175326676,-9.461930717792441,0.0013949103173953453,0.15599495803985547,0.1407882218513168,0.2732187747875527,0.1932540445385461,0.23674400078272884,-0.011401830669309443,-0.0017786280968364637,-17.650139274609263,-0.01756007816683236,-0.002472252180678459,-24.533287981081155,-0.017453900009860912,-0.004768733175958652,-47.32231817816543,-0.013140828725510367,-0.0025395182997931865,-25.200800415495692,0.0,0.0,0.0,-9.461930717792441,-9.461930717792441,-0.0026545361942780232,-0.017773901942362835,-0.028453726767580068,-0.020526878844610796,0.0,-0.3,0.23674400078272884,0.2732187747875527,,,,,,,,,,,,,,,,,,,,,,,,,0.23674400078272884,0.1407882218513168
2025-03-09 16:00:00+00:00,9711.737044826028,-0.009890486953663926,-5.5245517287650285,0.003230884648118826,0.1571249440534957,0.1393023627922902,0.2714737491984605,0.19500544925545937,0.2370934947002942,-0.022859427926232634,-0.0035917863340042197,-35.230935505026494,-0.02314715610006035,-0.00322445353666038,-31.62785979598946,0.003010839020473721,0.0008173637571210215,8.017317048805001,-0.019956420987099155,-0.0038916108401203485,-38.17183923802436,0.0,0.0,0.0,-5.5245517287650285,-14.98648244655747,-0.013899626617009053,-0.025808120459073325,-0.0263826460816885,-0.02502107570392864,0.0,-0.1,0.2370934947002942,0.2714737491984605,-0.010841490908883422,0.00221760545297478,-0.045502442762716866,-0.02671132580411706,0.0,-0.7,0.1393023627922902,0.2714737491984605,,,,,,,,,,,,,,,,,0.2714737491984605,0.1393023627922902
2025-03-09 20:00:00+00:00,9578.049464001617,-0.013765568425849627,-4.537722798517376,0.004290406866717153,0.15853245970756116,0.13734778117145238,0.2691379239525811,0.19697856467259758,0.23800327049580763,-0.005290537840453302,-0.0008387219770229908,-8.145447294563905,-0.026962198558900585,-0.003703198147569126,-35.964486634078206,-0.02631578947368418,-0.007082576946120548,-68.78412490046973,-0.010869565217391464,-0.0021410713551369615,-20.793521995299493,0.0,0.0,0.0,-4.537722798517376,-19.524205245074846,-0.035246878879591215,-0.04070905763952415,-0.014398422090729945,-0.036878420176064686,0.0,0.8,0.23800327049580763,0.13734778117145238,-0.038421296296296314,-0.03868616484826248,-0.038113570741097336,-0.05461582090548178,0.0,0.6,0.23800327049580763,0.19697856467259758,,,,,,,,,,,,,,,,,0.23800327049580763,0.13734778117145238
2025-03-10 00:00:00+00:00,9439.666108732923,-0.014447968324740532,-3.819687790202092,0.0052340087477941305,0.1599466312532627,0.13518792919285852,0.26606376718338093,0.19946268847692072,0.23933898389357716,-0.02306824977378019,-0.0036896888402249807,-35.340022218449626,-0.009821266668953665,-0.0013277167030266897,-12.71693625577078,-0.02754084883362462,-0.007327621992102189,-70.18432589386083,-0.010543028400171184,-0.0021029407893866725,-20.142070900612154,0.0,0.0,0.0,-3.819687790202092,-23.34389303527694,-0.03911127554674099,-0.06617636963575546,-0.04042993787594895,-0.043347668782852344,0.0,0.5,0.23933898389357716,0.13518792919285852,-0.041661989444475855,-0.08277405927331083,-0.06773328223797659,-0.06298475528216108,0.0,0.3,0.23933898389357716,0.13518792919285852,,,,,,,,,,,,,,,,,0.23933898389357716,0.26606376718338093
